Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000038384.17	Setd1b	0.551086543804123	0.00013454130211738
ENSMUSG00000062825.16	Actg1	-0.975621196626929	0.00013454130211738
ENSMUSG00000036181.3	H1f2	0.970398973002966	0.000192535015861372
ENSMUSG00000026790.20	Odf2	0.548965327835121	0.000192535015861372
ENSMUSG00000051339.11	2900026A02Rik	0.552186001588547	0.000398709481272249
ENSMUSG00000042726.15	Trafd1	0.635288946897205	0.000398709481272249
ENSMUSG00000027424.12	Mgme1	-0.512845002427692	0.000398709481272249
ENSMUSG00000015357.11	Clpx	0.719620835602789	0.000398709481272249
ENSMUSG00000018820.14	Zfyve27	0.454380852241202	0.000398709481272249
ENSMUSG00000040435.13	Ppp1r15a	1.11088568059502	0.000398709481272249
ENSMUSG00000038132.7	Rbm24	0.459751879707962	0.000398709481272249
ENSMUSG00000048486.7	Fitm2	0.315448395083893	0.000512327402403874
ENSMUSG00000066036.15	Ubr4	0.553663084043506	0.000512327402403874
ENSMUSG00000035569.18	Ankrd11	0.571761128699074	0.000512327402403874
ENSMUSG00000026213.16	Stk11ip	0.767952001753566	0.00053989128335271
ENSMUSG00000030852.19	Tacc2	1.32599122371551	0.000585499389586154
ENSMUSG00000029580.15	Actb	-0.558067158627222	0.000592770590726674
ENSMUSG00000031666.16	Rbl2	0.832025603907376	0.000649821250107392
ENSMUSG00000020349.5	Ppp2ca	0.476083018484184	0.000692242501586516
ENSMUSG00000008855.18	Hdac5	0.423288375377161	0.000692242501586516
ENSMUSG00000030094.9	Xpc	0.468029828912142	0.000692242501586516
ENSMUSG00000051705.14	Senp8	-0.416901823570069	0.000692242501586516
ENSMUSG00000040363.16	Bcor	0.742725179217593	0.000738053445038975
ENSMUSG00000019132.12	BC005537	0.563715281837222	0.000738053445038975
ENSMUSG00000024104.12	Washc2	0.303817942718761	0.00076781709123225
ENSMUSG00000024594.10	Prrc1	0.527573314106572	0.000771352789697952
ENSMUSG00000024906.11	Mus81	-0.378499450310964	0.000771352789697952
ENSMUSG00000020925.17	Ccdc43	-0.375645165018757	0.000802201095217153
ENSMUSG00000007836.7	Hnrnpa0	0.479149001205692	0.000802201095217153
ENSMUSG00000038515.11	Grtp1	-0.52081555092041	0.000806793509207786
ENSMUSG00000020923.18	Ubtf	0.451746576207372	0.000806793509207786
ENSMUSG00000034254.18	Agpat1	-0.334140457966952	0.000877848482953166
ENSMUSG00000024269.12	Tpgs2	-0.438093102241172	0.000806793509207786
ENSMUSG00000021981.11	Cab39l	-0.348715963360355	0.000947714729408015
ENSMUSG00000025223.16	Ldb1	0.427229403428897	0.000954182821332659
ENSMUSG00000025352.7	Gdf11	-0.929577630911954	0.00100313370795537
ENSMUSG00000049134.16	Nrap	0.53833614033935	0.00100313370795537
ENSMUSG00000038002.10	Cramp1l	0.412858523072712	0.00100313370795537
ENSMUSG00000020277.11	Pfkl	-0.347226934501592	0.00100313370795537
ENSMUSG00000020571.14	Pdia6	-0.315651290493917	0.00100313370795537
ENSMUSG00000024236.19	Svil	0.598462978382853	0.00100313370795537
ENSMUSG00000021540.17	Smad5	0.454449587526394	0.00100313370795537
ENSMUSG00000022008.5	Gpalpp1	0.508877405625698	0.00100313370795537
ENSMUSG00000027187.11	Cat	0.794133460619326	0.00100313370795537
ENSMUSG00000051989.12	Smim11	-0.332563549455541	0.00102627484418411
ENSMUSG00000025175.13	Fn3k	-0.40728328583527	0.00101869264237127
ENSMUSG00000020744.14	Slc25a19	-0.470818340908748	0.0011993306664287
ENSMUSG00000020883.19	Fbxl20	0.509715333403514	0.00120204645281537
ENSMUSG00000040740.8	Slc25a34	1.38914253540975	0.00121035235008696
ENSMUSG00000056900.14	Usp13	0.505968923001647	0.00121035235008696
ENSMUSG00000025178.10	Pi4k2a	0.544354828182926	0.00126104145240881
ENSMUSG00000037348.16	Paqr7	-0.737957096419778	0.00104059235314271
ENSMUSG00000055128.16	Cgrrf1	-0.329732717583329	0.00143904157608342
ENSMUSG00000030967.16	Zranb1	0.653835652685399	0.00154642267074072
ENSMUSG00000032495.9	Lrrc2	0.484176039446486	0.00154642267074072
ENSMUSG00000024991.9	Eif3a	0.493215764185547	0.00154642267074072
ENSMUSG00000072969.3	Armcx5	0.621559615177953	0.00151019435468619
ENSMUSG00000021546.19	Hnrnpk	0.273426189876671	0.00165146589627677
ENSMUSG00000027452.12	Acss1	0.966555784142817	0.00166028580324515
ENSMUSG00000038506.14	Dcun1d2	-0.32610265497651	0.00167223804046827
ENSMUSG00000042229.10	Rabif	-0.442948951016259	0.00175176940244699
ENSMUSG00000054676.18	1600014C10Rik	-0.331922024686978	0.00191609826633672
ENSMUSG00000014426.10	Map3k4	-0.370916761404816	0.00197614981567169
ENSMUSG00000034610.15	Tut4	0.542833247495993	0.00200772916290358
ENSMUSG00000042548.15	Asxl1	0.548638485548763	0.00200948537978803
ENSMUSG00000001419.18	Mef2d	0.318433729548759	0.00200772916290358
ENSMUSG00000022788.17	Fgd4	-0.545205200275736	0.00204292533140561
ENSMUSG00000021518.5	Ptdss1	-0.345997738063879	0.00211080809510085
ENSMUSG00000021226.8	Acot2	1.92505319029406	0.00211080809510085
ENSMUSG00000030245.11	Golt1b	-0.380362185671088	0.00217469153732463
ENSMUSG00000034040.18	Galnt17	-0.625430747987688	0.00221395053366759
ENSMUSG00000017119.20	Nbr1	0.317351674102117	0.00221395053366759
ENSMUSG00000028098.14	Rnf115	0.658018535102125	0.00221395053366759
ENSMUSG00000037977.7	6430571L13Rik	-1.54933469357022	0.00224079693763808
ENSMUSG00000053774.10	Ubxn7	0.346585448231654	0.00224079693763808
ENSMUSG00000022853.8	Ehhadh	0.701695345520604	0.00224079693763808
ENSMUSG00000011305.12	Plin5	1.07436791081138	0.00227542129764559
ENSMUSG00000020085.16	Aifm2	0.633795286566447	0.00227542129764559
ENSMUSG00000031543.19	Ank1	-0.63816364719428	0.00227542129764559
ENSMUSG00000020034.8	Tcp11l2	0.88071103366889	0.00227542129764559
ENSMUSG00000069601.15	Ank3	0.615997960509975	0.00227647377115505
ENSMUSG00000020268.15	Lyrm7	-0.355323069120067	0.00237481752957978
ENSMUSG00000059923.14	Grb2	-0.256307747150376	0.00234339664195987
ENSMUSG00000070803.7	Cited4	-1.37227689395527	0.00234339664195987
ENSMUSG00000040557.15	Mettl27	0.558897932719587	0.00195096354755883
ENSMUSG00000096210.3	H1f0	0.346855956825523	0.00261020360650972
ENSMUSG00000079487.12	Med12	0.327980566933069	0.00265853782939018
ENSMUSG00000006456.11	Rbm14	0.403026453707273	0.00271139161851905
ENSMUSG00000026185.9	Igfbp5	-1.4867609615171	0.00281632149576788
ENSMUSG00000042675.16	Ypel3	0.554206079320664	0.00281632149576788
ENSMUSG00000041895.16	Wipi1	0.378144423099876	0.00281632149576788
ENSMUSG00000030739.19	Myh14	0.467301266102545	0.00285749536692028
ENSMUSG00000048731.16	Ggnbp1	-0.31483731992131	0.00308762984076053
ENSMUSG00000032267.9	Usp28	0.622903322849349	0.00307685653930759
ENSMUSG00000043962.17	Thrap3	0.285933895441043	0.00307685653930759
ENSMUSG00000037369.18	Kdm6a	0.431767770482643	0.00314439851763678
ENSMUSG00000024018.19	Ccdc167	-0.283651522411287	0.00314439851763678
ENSMUSG00000026172.13	Bcs1l	-0.337314651276457	0.00315535963543493
ENSMUSG00000025982.14	Sf3b1	0.372168902403351	0.00308762984076053
ENSMUSG00000029536.9	Gatc	-0.255325522025486	0.00314439851763678
ENSMUSG00000046822.15	Slc39a3	-0.318599405604559	0.00324777980381353
ENSMUSG00000022474.16	Pmm1	0.60059493069803	0.00327164418362847
ENSMUSG00000063406.12	Tmed5	0.444277011384535	0.00324777980381353
ENSMUSG00000026932.15	Nacc2	-0.608831302544598	0.00327164418362847
ENSMUSG00000023277.14	Twf2	0.84054343500697	0.00327164418362847
ENSMUSG00000053317.12	Sec61b	-0.493049144291872	0.00338254776040168
ENSMUSG00000032526.12	Ss18l2	-0.369498118189454	0.00331122014854846
ENSMUSG00000026234.13	Ncl	0.288730760583971	0.00331122014854846
ENSMUSG00000008859.9	Rala	-0.316423988482708	0.00338254776040168
ENSMUSG00000027274.17	Mkks	-0.557152475858136	0.00353695341162313
ENSMUSG00000028977.18	Casz1	0.515046447139543	0.00342655347685765
ENSMUSG00000045466.19	Zfp956	0.482536842398861	0.00357519254049492
ENSMUSG00000023852.15	Chd1	0.428385052133851	0.00357519254049492
ENSMUSG00000022075.8	Rhobtb2	-0.4561213568903	0.00360700797113657
ENSMUSG00000036810.17	Cnep1r1	-0.287317858183204	0.00360700797113657
ENSMUSG00000036275.14	9530068E07Rik	0.402887859430785	0.00360700797113657
ENSMUSG00000042712.11	Tceal9	-0.330110243331435	0.00375455686408933
ENSMUSG00000078429.10	Ctdsp2	0.374005219781639	0.00363966084866276
ENSMUSG00000026439.15	Rbbp5	-0.2707848494782	0.00375455686408933
ENSMUSG00000018143.11	Mafk	0.852817200718856	0.00383123794209677
ENSMUSG00000020453.18	Patz1	0.374358377774306	0.00391384708923884
ENSMUSG00000037243.18	Zfp692	-0.486611221877537	0.00391384708923884
ENSMUSG00000032575.17	Manf	-0.446511121684543	0.00391384708923884
ENSMUSG00000072949.7	Acot1	1.77478501365064	0.00375455686408933
ENSMUSG00000020715.10	Ern1	0.37556744987584	0.00391384708923884
ENSMUSG00000025245.15	Lztfl1	0.262683869588107	0.00391384708923884
ENSMUSG00000037523.14	Mavs	0.481788236504729	0.00391384708923884
ENSMUSG00000023055.11	Calcoco1	0.412125991290073	0.00391384708923884
ENSMUSG00000028221.4	Pip4p2	-0.265750040679203	0.00395448732694735
ENSMUSG00000012296.17	Tjap1	0.27737419167373	0.00391384708923884
ENSMUSG00000006920.15	Ezh1	0.477361574811042	0.00391384708923884
ENSMUSG00000031722.11	Hp	-1.70086296993398	0.00410537738377848
ENSMUSG00000020018.7	Snrpf	-0.358206601547477	0.00413544519925904
ENSMUSG00000033416.16	Gucd1	0.967695540242216	0.00403485921364132
ENSMUSG00000034898.18	Filip1	0.858157990519404	0.00403485921364132
ENSMUSG00000035049.5	Rrp12	0.31281317644729	0.00410537738377848
ENSMUSG00000025086.14	Trub1	0.343491029604077	0.00431081745204505
ENSMUSG00000032643.13	Fhl3	1.09422943157549	0.00413544519925904
ENSMUSG00000033099.11	Nol12	-0.352335541166811	0.00433536828219037
ENSMUSG00000029617.11	Ccz1	-0.26727015200645	0.0041937161084522
ENSMUSG00000001138.14	Cnnm3	0.427894058320994	0.00433448243103642
ENSMUSG00000030532.7	Hddc3	-0.33680592202197	0.0046006709454061
