Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000053604.6	Rpia	0.560493478760864	0.00315491641336434
ENSMUSG00000006728.13	Cdk4	0.355275224413508	0.00315491641336434
ENSMUSG00000024067.15	Dpy30	0.447327693892199	0.00315491641336434
ENSMUSG00000020642.14	Rnf144a	-0.653459848623152	0.00451965832681231
ENSMUSG00000025171.3	Ubtd1	0.652679965745775	0.00531265295476604
ENSMUSG00000050164.12	Mchr1	1.5413271664346	0.00315491641336434
ENSMUSG00000053317.12	Sec61b	0.572611525171635	0.00858694947350045
ENSMUSG00000015165.17	Hnrnpl	-0.522913861681235	0.00858694947350045
ENSMUSG00000037287.16	Tbcel	-0.41988785020118	0.00858694947350045
ENSMUSG00000047888.11	Tnrc6b	-0.525383123325734	0.00858694947350045
ENSMUSG00000066406.17	Akap13	-0.677515132753514	0.00858694947350045
ENSMUSG00000020883.19	Fbxl20	-0.508994892453111	0.00858694947350045
ENSMUSG00000038002.10	Cramp1l	-0.397558353742095	0.00858694947350045
ENSMUSG00000109324.3	Prmt1	0.387189404850876	0.00858694947350045
ENSMUSG00000042608.16	Stk40	0.467447778851914	0.00858694947350045
ENSMUSG00000016409.5	Nkap	-0.379049365326315	0.00858694947350045
ENSMUSG00000038393.15	Txnip	-1.27140877037972	0.00858694947350045
ENSMUSG00000024150.13	Mcfd2	0.289052052687203	0.00858694947350045
ENSMUSG00000052632.17	Asap2	-0.655744637760933	0.00858694947350045
ENSMUSG00000032845.17	Alpk2	-0.666969415807472	0.00858694947350045
ENSMUSG00000009471.5	Myod1	1.67424674440062	0.00858694947350045
ENSMUSG00000039943.17	Plcb4	-0.528327264270537	0.00858694947350045
ENSMUSG00000022404.9	Slc25a17	-0.543959195630546	0.00858694947350045
ENSMUSG00000022898.14	Vps26c	0.340974563636426	0.00858694947350045
ENSMUSG00000051989.12	Smim11	0.314788749650404	0.00923083913924841
ENSMUSG00000004098.8	Col5a3	-0.874000637608055	0.00923083913924841
ENSMUSG00000040943.13	Tet2	-0.505583838224557	0.0094811905112866
ENSMUSG00000053774.10	Ubxn7	-0.348872893918855	0.0094811905112866
ENSMUSG00000001105.16	Ift20	0.515634076042593	0.0094811905112866
ENSMUSG00000071866.13	Ppia	0.353333468039319	0.00959141495057866
ENSMUSG00000025351.15	Cd63	0.321475187678121	0.00959141495057866
ENSMUSG00000032575.17	Manf	0.480232602545401	0.00969318914595625
ENSMUSG00000000827.19	Tpd52l2	0.349585811611445	0.00969318914595625
ENSMUSG00000021559.15	Dapk1	-0.519210737502245	0.0095150257224328
ENSMUSG00000033610.17	Pank1	-1.35545206673526	0.00969318914595625
ENSMUSG00000037977.7	6430571L13Rik	1.53314246300242	0.00969318914595625
ENSMUSG00000028977.18	Casz1	-0.548546865954999	0.00969318914595625
ENSMUSG00000044461.7	Shisa2	0.692916263820087	0.0106440041466056
ENSMUSG00000024900.6	Cpt1a	-0.898292694502384	0.0110110726928387
ENSMUSG00000066152.12	Slc31a2	0.489918091327236	0.0110110726928387
ENSMUSG00000020717.20	Pecam1	-0.415000772483563	0.0116603060462352
ENSMUSG00000078853.9	Igtp	0.546231276336054	0.0122556590004386
ENSMUSG00000032577.17	Mapkapk3	0.705929435504562	0.0122556590004386
ENSMUSG00000009013.6	Dynll1	0.726654149599025	0.0130933200851612
ENSMUSG00000025086.14	Trub1	-0.355248133715467	0.0130933200851612
ENSMUSG00000096433.3	Zfp994	-0.482816750401287	0.0110110726928387
ENSMUSG00000022008.5	Gpalpp1	-0.435568678817037	0.0134205447140518
ENSMUSG00000079003.4	Samd1	0.627031340995181	0.0134205447140518
ENSMUSG00000006599.14	Gtf2h1	0.453628280261237	0.0134205447140518
ENSMUSG00000062901.4	Klhl24	-0.497289365542137	0.0134205447140518
ENSMUSG00000019082.19	Slc25a22	-1.33453309097881	0.0136201156295561
ENSMUSG00000028542.18	Slc6a9	0.962656788387909	0.0136201156295561
ENSMUSG00000091896.9	Ube2d2a	0.222045694226964	0.0143772804162044
ENSMUSG00000073676.5	Hspe1	0.37260830660052	0.0143772804162044
ENSMUSG00000026516.9	Nvl	-0.284652684415521	0.0151951867188518
ENSMUSG00000029066.13	Mrpl20	0.285409212759452	0.0151974510279394
ENSMUSG00000000957.12	Mmp14	-0.471493890966249	0.0151974510279394
ENSMUSG00000022075.8	Rhobtb2	0.449067296784043	0.0151974510279394
ENSMUSG00000047963.8	Stbd1	0.670378541802255	0.0151974510279394
ENSMUSG00000078937.9	Cpt1b	-0.811720977623866	0.0151974510279394
ENSMUSG00000068735.15	Trp53i11	-0.811251197697363	0.0151359465101311
ENSMUSG00000004268.12	Emg1	0.352284968962016	0.0151974510279394
ENSMUSG00000048371.9	Pdp2	-0.71473253574526	0.0151974510279394
ENSMUSG00000022853.8	Ehhadh	-0.623691879076817	0.0157928474141231
ENSMUSG00000062515.4	Fabp4	-0.463727367308831	0.0157928474141231
ENSMUSG00000021018.9	Polr2h	0.507698335008197	0.0161137166113169
ENSMUSG00000005198.16	Polr2a	-0.358806727334724	0.0163298094409623
ENSMUSG00000033102.16	Cdc14b	-0.347537630811363	0.0166331032892516
ENSMUSG00000038384.17	Setd1b	-0.328755577444201	0.0166331032892516
ENSMUSG00000027770.6	Dhx36	-0.275754352121688	0.0165921552133128
ENSMUSG00000043518.8	Rai2	0.354317688572997	0.0166331032892516
ENSMUSG00000021786.14	Oxsm	-0.330764932636409	0.0167736813362233
ENSMUSG00000005897.15	Nr2c1	-0.500101295693056	0.0167736813362233
ENSMUSG00000064326.14	Siva1	0.406924700765438	0.0171436692033597
ENSMUSG00000090841.3	Myl6	0.419590733896196	0.0171436692033597
ENSMUSG00000055128.16	Cgrrf1	0.281544017533988	0.0175278657794118
ENSMUSG00000025571.14	Tnrc6c	-0.467746332157441	0.0175278657794118
ENSMUSG00000029401.9	Rilpl2	0.373846736829151	0.0180055454806346
