Geneid	Symbol	Young_AdLibitum.log2fpkm.mean	Young_Fast.log2fpkm.mean	Young_Refeed.log2fpkm.mean	Aged_AdLibitum.log2fpkm.mean	Aged_Fast.log2fpkm.mean	Aged_Refeed.log2fpkm.mean
ENSMUSG00000019132.12	BC005537	3.98172902421901	5.33139973380256	4.59628028640171	4.28266534372043	4.85804015354369	4.68134003074771
ENSMUSG00000032495.9	Lrrc2	4.83302764374794	6.04212975484763	5.67967519529296	5.43704445881656	5.92579087771367	5.72496295140474
ENSMUSG00000036181.3	H1f2	6.5748980897222	8.35291687080019	7.32730220168957	6.50002127517756	7.47387597152872	7.44586211698817
ENSMUSG00000030967.16	Zranb1	4.18310800398022	5.77576189966528	4.58332580136133	4.36322761950981	5.02970608269619	4.67156905848604
ENSMUSG00000024104.12	Washc2	2.19714981561115	2.89385240122981	2.55233111634277	2.33376726859745	2.66388620786969	2.67620964527437
ENSMUSG00000031543.19	Ank1	5.57621780142429	4.02480888049113	4.8408223837473	5.35414927654006	4.70630454941298	4.85168829501765
ENSMUSG00000026213.16	Stk11ip	1.26665640034989	2.99568894726677	2.02311264587377	1.54305173782215	2.40954823415448	2.12851791690042
ENSMUSG00000020034.8	Tcp11l2	3.6037501854818	5.78042867979426	4.23632753465289	3.94917946074023	4.85032710395506	4.4164203212529
ENSMUSG00000023055.11	Calcoco1	3.95886589816158	5.03420387162691	4.57398583968987	4.22078441436269	4.6425765637232	4.56330084390474
ENSMUSG00000036275.14	9530068E07Rik	4.3074574930186	5.3291076869769	4.78402916101461	4.42134865698389	4.83193383000772	4.86332096946427
ENSMUSG00000040435.13	Ppp1r15a	3.26247389140968	5.35776822176054	4.38890604492085	3.62302693896076	4.76324991855349	4.39505235731305
ENSMUSG00000062825.16	Actg1	6.07607407745545	4.52448541257995	5.08613745944172	5.65242122858682	4.66369654978224	4.93306263625144
ENSMUSG00000031666.16	Rbl2	2.88743129695658	4.55624890861239	3.75915103049415	3.10630522780962	3.97398390388663	3.94694990121417
ENSMUSG00000030852.19	Tacc2	5.06843761831202	7.51367379288418	6.53588185595972	5.75287263866812	7.08778614029155	6.48033761033245
ENSMUSG00000038520.16	Tbc1d17	1.95688336572433	3.22812759560049	2.46104521170386	2.37782982135625	2.81739767456181	2.58984127169856
ENSMUSG00000017119.20	Nbr1	3.87642398598972	4.58949133260871	4.19369858035952	4.070218090145	4.39579306502199	4.3038589681309
ENSMUSG00000030739.19	Myh14	2.76554992275619	3.86893132893652	3.6550260355854	3.40479784713458	3.89030676956966	3.62796776332804
ENSMUSG00000005514.15	Por	1.99326277377446	3.08781835557692	2.90900698352625	2.36489954889983	2.71874934852794	2.9374199462955
ENSMUSG00000006920.15	Ezh1	2.41270542637903	3.61887990618523	2.97162763942438	2.61919534578484	3.12889834879215	3.08791193085753
ENSMUSG00000020802.9	Ube2o	2.60119130473929	3.44452688415316	3.25007447872069	3.03336892706655	3.35780218388329	3.30113036889178
ENSMUSG00000050148.10	Ubqln2	2.55722574785629	3.4961645725079	3.08552501735362	2.81185465847538	3.16421914221458	3.1259872464129
ENSMUSG00000036833.17	Pnpla7	2.54352894480611	4.35868637079615	3.38042443566913	2.77742070974833	3.48187700203464	3.38001539264808
ENSMUSG00000020744.14	Slc25a19	3.29617147436788	2.27693683477914	2.66625321499419	2.89528170855782	2.38782778551397	2.6414875124148
ENSMUSG00000026234.13	Ncl	4.05738334828247	4.71865950196182	4.43957504696379	4.27186051026481	4.56735176777667	4.49808806638712
ENSMUSG00000026172.13	Bcs1l	2.91154522610855	2.04512413352781	2.54175844361655	2.73307141968117	2.36926555498113	2.55996741852866
ENSMUSG00000042726.15	Trafd1	3.25310002159405	4.32644628376834	4.00181007531589	3.63056205723781	4.28556125222698	4.05735149338597
ENSMUSG00000001138.14	Cnnm3	1.16135616240909	2.32677029949531	1.30105554194959	1.35522296599557	1.8546879382087	1.41607236983666
ENSMUSG00000029385.15	Ccng2	1.612987810342	2.8985116234944	2.08788876683126	1.89424574915669	2.37359504981952	2.20511149336339
