Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000019132.12	BC005537	1.32335806016608	1.05643732798442e-09
ENSMUSG00000032495.9	Lrrc2	1.19555089847327	1.58310536623883e-09
ENSMUSG00000036181.3	H1f2	1.77328024168833	1.60229566678922e-09
ENSMUSG00000030967.16	Zranb1	1.56752023384866	2.1969187744441e-09
ENSMUSG00000024104.12	Washc2	0.642632386817481	2.80407912411225e-09
ENSMUSG00000031543.19	Ank1	-1.52231999370402	2.80407912411225e-09
ENSMUSG00000026213.16	Stk11ip	1.55027056738663	2.99643580432949e-09
ENSMUSG00000020034.8	Tcp11l2	2.13384620128471	2.99643580432949e-09
ENSMUSG00000023055.11	Calcoco1	1.05235850119442	3.2531539546291e-09
ENSMUSG00000036275.14	9530068E07Rik	1.00452777622212	3.78285427261262e-09
ENSMUSG00000040435.13	Ppp1r15a	2.04296386296505	4.47830490451512e-09
ENSMUSG00000062825.16	Actg1	-1.53257812310052	4.47830490451512e-09
ENSMUSG00000031666.16	Rbl2	1.60676542490661	4.59014889907159e-09
ENSMUSG00000030852.19	Tacc2	2.42797122663455	7.28786165133172e-09
ENSMUSG00000038520.16	Tbc1d17	1.17293163928959	8.45010539317558e-09
ENSMUSG00000017119.20	Nbr1	0.69492547131375	8.96219570261798e-09
ENSMUSG00000030739.19	Myh14	1.05106616875643	9.93627836840014e-09
ENSMUSG00000005514.15	Por	1.01035597006684	9.93627836840014e-09
ENSMUSG00000006920.15	Ezh1	1.13626955508659	1.0365243027436e-08
ENSMUSG00000020802.9	Ube2o	0.795547747203207	1.05863346874279e-08
ENSMUSG00000050148.10	Ubqln2	0.886820927292904	1.07329141341955e-08
ENSMUSG00000036833.17	Pnpla7	1.73330747208101	1.07329141341955e-08
ENSMUSG00000020744.14	Slc25a19	-0.951284595668257	1.2070562882398e-08
ENSMUSG00000026234.13	Ncl	0.646027934930001	1.2070562882398e-08
ENSMUSG00000026172.13	Bcs1l	-0.799273531518664	1.2070562882398e-08
ENSMUSG00000042726.15	Trafd1	1.03684754266655	1.63976899443627e-08
ENSMUSG00000001138.14	Cnnm3	1.01492269478156	1.65097276947328e-08
ENSMUSG00000029385.15	Ccng2	1.16458003312483	1.71183551581963e-08
ENSMUSG00000020385.17	Clk4	1.03910985330133	1.78511976628521e-08
ENSMUSG00000029578.16	Wipi2	0.814000820083202	1.79392961812108e-08
ENSMUSG00000066036.15	Ubr4	0.923572842291161	1.83927169218829e-08
ENSMUSG00000008859.9	Rala	-0.713011719942184	1.83927169218829e-08
ENSMUSG00000042548.15	Asxl1	1.14814334036294	1.83927169218829e-08
ENSMUSG00000027187.11	Cat	1.49018562929391	1.93984127636359e-08
ENSMUSG00000035569.18	Ankrd11	0.955694010585901	1.94816516926217e-08
ENSMUSG00000054676.18	1600014C10Rik	-0.680768582727917	2.12200707278521e-08
ENSMUSG00000015837.16	Sqstm1	1.2478874281483	2.27836133512126e-08
ENSMUSG00000033102.16	Cdc14b	0.803163062223432	2.31326483589797e-08
ENSMUSG00000020883.19	Fbxl20	0.970904572306565	2.46773425958777e-08
ENSMUSG00000017817.12	Jph2	-1.20346789400752	2.55356511327164e-08
ENSMUSG00000025162.19	Csnk1d	0.547494480943785	2.59766808412735e-08
ENSMUSG00000027452.12	Acss1	1.89318118648312	2.60292383088937e-08
ENSMUSG00000033684.15	Qsox1	0.675598502059515	2.60292383088937e-08
