Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000059839.10	Zfp874b	-0.958382897262929	4.01681757079095e-07
ENSMUSG00000034936.3	Arl4d	-2.28362883194048	4.01681757079095e-07
ENSMUSG00000039911.14	Spsb1	-1.96364298363262	4.55513091659378e-07
ENSMUSG00000042207.18	Kdm5b	-0.566696501217805	4.55513091659378e-07
ENSMUSG00000033102.16	Cdc14b	-0.741787554899004	4.55513091659378e-07
ENSMUSG00000001138.14	Cnnm3	-0.899774449789811	4.8881750833668e-07
ENSMUSG00000030967.16	Zranb1	-1.17634230186614	8.17175544225386e-07
ENSMUSG00000052656.13	Rnf103	-0.522490767241404	1.21890255709793e-06
ENSMUSG00000002393.15	Nr2f6	0.663001872693317	1.21890255709793e-06
ENSMUSG00000053774.10	Ubxn7	-0.618117953463742	1.21959717837366e-06
ENSMUSG00000022228.15	Zscan26	-1.09962116897112	2.43900710847055e-06
ENSMUSG00000020034.8	Tcp11l2	-1.52011145584957	2.43900710847055e-06
ENSMUSG00000038002.10	Cramp1l	-0.628690534222067	2.43900710847055e-06
ENSMUSG00000030409.17	Dmpk	0.698589565295241	2.47012410250609e-06
ENSMUSG00000047648.14	Fbxo30	-1.28771107643787	3.69507835399362e-06
ENSMUSG00000059878.13	Zfp422	-1.07983089412876	3.70348960496261e-06
ENSMUSG00000002266.18	Zim1	-1.46072201615743	3.69507835399362e-06
ENSMUSG00000059486.12	Kbtbd2	-0.609520931477743	5.06421636490801e-06
ENSMUSG00000037369.18	Kdm6a	-0.715065973925711	5.70745047935541e-06
ENSMUSG00000043953.13	Ccrl2	-1.54090712748944	5.70745047935541e-06
ENSMUSG00000059474.14	Mbtd1	-0.472697007074788	7.12254559632139e-06
ENSMUSG00000027276.8	Jag1	-0.976039616707161	7.12254559632139e-06
ENSMUSG00000041777.13	Cir1	-0.965777495768164	7.12254559632139e-06
ENSMUSG00000117679.2	Apbb3	-0.852315391285903	7.12254559632139e-06
ENSMUSG00000002799.7	Jag2	0.930837811631041	7.12254559632139e-06
ENSMUSG00000000126.12	Wnt9a	0.681723325957529	7.12254559632139e-06
ENSMUSG00000069206.15	Zfp874a	-1.04801970143492	7.12254559632139e-06
ENSMUSG00000028522.17	Mier1	-1.15678345073288	8.87202349928757e-06
ENSMUSG00000035172.16	Plekhh3	1.32565533684372	8.87202349928757e-06
ENSMUSG00000042548.15	Asxl1	-0.812050370285872	9.45091873311361e-06
ENSMUSG00000024188.17	Luc7l	-0.649782235578942	9.45091873311361e-06
ENSMUSG00000027510.18	Rbm38	0.835199910520465	9.45091873311361e-06
ENSMUSG00000032425.16	Zfp949	-0.958667268378036	9.45091873311361e-06
ENSMUSG00000025821.10	Zfp282	-0.571970281535708	1.13467765033563e-05
ENSMUSG00000024150.13	Mcfd2	0.418893408991197	1.34054796960962e-05
ENSMUSG00000041303.8	Gtf3c3	-0.692397498061932	1.35233734212657e-05
ENSMUSG00000026213.16	Stk11ip	-0.895844500645088	1.37703252791121e-05
ENSMUSG00000019132.12	BC005537	-0.723748034309908	1.37703252791121e-05
ENSMUSG00000028211.12	Trp53inp1	-1.4814920318442	1.47875961074699e-05
ENSMUSG00000020883.19	Fbxl20	-0.69294798224246	1.47875961074699e-05
ENSMUSG00000038393.15	Txnip	-1.7652734150632	1.47875961074699e-05
ENSMUSG00000069114.9	Zbtb10	-1.00076259431262	1.5095064351592e-05
ENSMUSG00000036181.3	H1f2	-1.02357412116086	1.63561191178258e-05
ENSMUSG00000027130.16	Slc12a6	-0.651186717034137	1.78916420560264e-05
ENSMUSG00000002996.18	Hbp1	-0.878077639293132	1.81053350427289e-05
ENSMUSG00000020659.17	Cbll1	-0.684671747002596	1.87701823581662e-05
ENSMUSG00000048249.15	Crebrf	-1.04738644947397	1.87701823581662e-05
ENSMUSG00000005936.20	Kctd20	-1.40059861820633	1.87701823581662e-05
ENSMUSG00000062901.4	Klhl24	-0.743701904124703	1.87701823581662e-05
ENSMUSG00000047153.5	Khnyn	-0.513435438725057	1.9213764733938e-05
ENSMUSG00000074794.11	Arrdc3	-3.16547521121057	1.9213764733938e-05
ENSMUSG00000037526.8	Atg14	-0.913759508446309	1.95509611766624e-05
ENSMUSG00000044461.7	Shisa2	0.987011745838334	2.0729121110188e-05
ENSMUSG00000078515.5	Ddi2	-1.58322645915716	2.0729121110188e-05
ENSMUSG00000042622.15	Maff	-1.70356623190017	2.0729121110188e-05
ENSMUSG00000078853.9	Igtp	0.896763060083065	2.0729121110188e-05
ENSMUSG00000026199.18	Ankzf1	-0.708927026606009	2.13106675125087e-05
ENSMUSG00000040918.13	Slc19a2	-0.785683338293306	2.13106675125087e-05
ENSMUSG00000048371.9	Pdp2	-1.07247985177821	2.13106675125087e-05
ENSMUSG00000044716.13	Dok7	0.995564901641038	2.13106675125087e-05
ENSMUSG00000044676.11	Zfp612	-0.699395327335002	2.13106675125087e-05
ENSMUSG00000070420.5	Zscan25	-0.820506224616541	2.13106675125087e-05
ENSMUSG00000032594.12	Ip6k1	-0.550804420756987	2.13106675125087e-05
ENSMUSG00000029385.15	Ccng2	-0.745540123630894	2.24135073613876e-05
ENSMUSG00000063488.7	Zkscan7	-0.542261819332839	2.24135073613876e-05
ENSMUSG00000024589.19	Nedd4l	-0.673936904895134	2.38445555933808e-05
ENSMUSG00000031565.19	Fgfr1	-0.963071641546549	2.43465047612292e-05
ENSMUSG00000045098.20	Kmt5b	-0.418656034819508	2.47796112515008e-05
ENSMUSG00000042608.16	Stk40	0.598588025250524	2.83180378709613e-05
ENSMUSG00000022807.10	Osbpl11	-0.528766093006473	2.92126187315966e-05
ENSMUSG00000078919.11	Dpm1	-0.74730390509621	2.83180378709613e-05
ENSMUSG00000062822.9	4833420G17Rik	-0.506136298636541	3.02379067599249e-05
ENSMUSG00000037977.7	6430571L13Rik	2.61567387999724	3.03197767659414e-05
ENSMUSG00000089762.4	Ier5l	0.721713689803095	2.0729121110188e-05
ENSMUSG00000021559.15	Dapk1	-0.696427510636203	3.13704517906305e-05
ENSMUSG00000057835.8	Zfp119a	-0.732421572366335	2.81162613941753e-05
ENSMUSG00000038520.16	Tbc1d17	-0.717399833247133	3.13704517906305e-05
ENSMUSG00000009471.5	Myod1	2.91017725637816	3.1639917660442e-05
ENSMUSG00000030177.15	Ccdc77	-1.13564002500415	3.39893156313592e-05
ENSMUSG00000037958.14	Nsrp1	-0.564974324684875	3.39893156313592e-05
ENSMUSG00000027257.14	Pacsin3	0.482480008325161	3.39893156313592e-05
ENSMUSG00000034121.13	Mks1	-0.709216309845649	3.27085967445086e-05
ENSMUSG00000018921.12	Pelp1	-0.451829126926146	3.63351263322009e-05
ENSMUSG00000036850.5	Mrpl41	-0.793106797506646	3.71248475275389e-05
ENSMUSG00000042447.14	Mios	-0.440207996453784	3.72749726591205e-05
ENSMUSG00000015757.11	Ppil4	-0.413619719408893	3.82812746897101e-05
ENSMUSG00000020385.17	Clk4	-0.665403331245128	3.81409265090754e-05
ENSMUSG00000068134.14	Zfp120	-0.675712790840514	4.07127372834709e-05
ENSMUSG00000051456.5	Hspb3	0.753852119233247	4.07127372834709e-05
ENSMUSG00000023912.11	Slc25a27	-0.576033076474297	4.07127372834709e-05
ENSMUSG00000015127.15	Unkl	-0.750531337490774	4.07127372834709e-05
ENSMUSG00000029670.13	Ing3	-0.664819822528982	4.09948143930215e-05
ENSMUSG00000022124.16	Fbxl3	-0.665412581074108	4.07127372834709e-05
ENSMUSG00000047888.11	Tnrc6b	-0.638115728506047	4.13204991741454e-05
ENSMUSG00000027075.17	Slc43a1	-3.20013624943948	4.24392399310172e-05
ENSMUSG00000025982.14	Sf3b1	-0.515644528090914	4.24392399310172e-05
ENSMUSG00000046434.17	Hnrnpa1	-0.566641704028953	4.24392399310172e-05
ENSMUSG00000000532.12	Acvr1b	-1.09530853472098	4.32128852331256e-05
ENSMUSG00000022637.12	Cblb	-1.24767614104723	4.65828656824894e-05
ENSMUSG00000027438.15	Napb	-1.21953894409605	4.64626195317175e-05
ENSMUSG00000044098.15	Rsbn1	-0.690733030637685	4.65968212576409e-05
ENSMUSG00000038332.14	Sesn1	-2.6201067838112	4.65968212576409e-05
ENSMUSG00000029676.16	Pot1a	-0.552145417705193	4.65968212576409e-05
ENSMUSG00000040557.15	Mettl27	-0.706233818027853	4.36874413243405e-05
ENSMUSG00000024750.12	Zfand5	-1.30857366645861	4.65968212576409e-05
ENSMUSG00000027829.16	Ccnl1	-0.516379458627804	4.65968212576409e-05
ENSMUSG00000003031.15	Cdkn1b	-0.836888806353576	4.65968212576409e-05
ENSMUSG00000003868.15	Ruvbl2	0.464751889710887	4.65968212576409e-05
ENSMUSG00000032376.13	Usp3	-0.893657630951471	4.65968212576409e-05
ENSMUSG00000054648.9	Zfp869	-0.701112380450001	4.65968212576409e-05
ENSMUSG00000025271.14	Pfkfb1	-0.823273498801234	4.65968212576409e-05
ENSMUSG00000021712.16	Trim23	-0.555772880062174	4.65968212576409e-05
ENSMUSG00000056204.9	Pgpep1	0.634810149938428	4.73145661996212e-05
ENSMUSG00000033863.3	Klf9	-1.00040186947995	4.65968212576409e-05
ENSMUSG00000029578.16	Wipi2	-0.507685451312059	4.65968212576409e-05
ENSMUSG00000044452.11	Zfp507	-0.61122509664997	4.73145661996212e-05
ENSMUSG00000010608.16	Rbm25	-0.61192469440126	4.65968212576409e-05
ENSMUSG00000026987.17	Baz2b	-0.555466330775154	4.73145661996212e-05
ENSMUSG00000040423.12	Rc3h1	-0.799771831561492	4.73145661996212e-05
