Geneid	Symbol	Aged_AdLibitum.log2fpkm.mean	Aged_Fast.log2fpkm.mean	Aged_Refeed.log2fpkm.mean	Aged_GElaS
ENSMUSG00000036833.17	Pnpla7	2.63897499059935	3.38311410342184	2.9203954256509	0.683562892010498
ENSMUSG00000020432.13	Tcn2	6.2065928866897	6.64807476363747	6.61796874984428	0.0299866474749921
ENSMUSG00000038967.14	Pdk2	5.00490889240321	5.64073398817121	5.46816746198902	0.181810451370865
ENSMUSG00000022489.7	Pde1b	2.26254061195794	2.45611106840943	2.31801945314643	0.0541035858210703
ENSMUSG00000028088.15	Fmo5	3.16029297746857	3.74032678933606	3.35654241279185	0.598760237857433
ENSMUSG00000050549.9	Fam241a	3.06897800403349	2.37119717874488	2.93967147440985	0.960181921099777
ENSMUSG00000029778.13	Adcyap1r1	2.254091953518	2.93687991885986	2.30993381375663	1.1179480999061
ENSMUSG00000028245.16	Nsmaf	2.69933006466304	2.98354560189602	2.76585155966024	0.32673048097865
ENSMUSG00000061740.9	Cyp2d22	4.25868091791364	5.21539258755783	4.95312902116924	0.293430039208129
ENSMUSG00000020614.14	Fam20a	1.92906756445141	2.42777553062043	2.44099449896154	0
ENSMUSG00000028479.19	Gne	2.79178026784322	2.9859876064291	2.76140358723594	0.263138190878221
ENSMUSG00000006301.18	Tmbim1	3.95356460924348	4.52460808844388	4.50465356557102	0.0190365936429932
ENSMUSG00000025792.10	Slc25a10	5.45898928029541	4.12200788337934	4.70176623635492	0.725984469051352
ENSMUSG00000025950.17	Idh1	6.48123983806817	6.08793246186845	5.99474972540376	0
ENSMUSG00000020263.15	Appl2	3.64570073998048	4.06646408844968	3.83804123743424	0.31899147821458
ENSMUSG00000045795.11	Whamm	3.5001396350768	3.85587317040095	3.40973449924924	0.616367356327531
ENSMUSG00000042726.15	Trafd1	5.00182114825184	5.53440144775489	4.99956089417603	1.05001922693329
ENSMUSG00000038217.14	Tlcd2	2.26030417495459	1.91218592465751	1.99622509876041	0.0202872823736596
ENSMUSG00000026643.17	Nmt2	2.52163120261479	2.9315253743865	2.52665402987203	0.749687374460586
ENSMUSG00000032376.13	Usp3	2.06583078942141	2.42003709969825	2.13990735933636	0.378214041591809
ENSMUSG00000031808.8	Slc27a1	6.975082243312	7.60280418826694	7.05863712094324	0.858463412596838
ENSMUSG00000020448.17	Rnf185	3.4567603038912	3.56735583979214	3.54060642637725	0.00458681350653296
ENSMUSG00000030104.10	Edem1	4.67253007197958	4.29934439246719	4.38366260801411	0.0861947081481218
ENSMUSG00000052214.10	Opa3	2.99414195095246	2.47519832607053	2.96875828664482	0.898310237820916
ENSMUSG00000031889.10	D230025D16Rik	2.88914478771256	3.41680233706261	2.75055932243498	0.897538523092629
ENSMUSG00000045730.5	Adrb2	2.30594131609195	2.71845070079707	2.63959759660277	0.0244055004631485
ENSMUSG00000024413.15	Npc1	2.39808542394364	2.96494336823454	2.59906958301351	0.397309176788479
ENSMUSG00000020034.8	Tcp11l2	3.56698104941479	4.05041284421515	3.49940491450073	0.878721155371774
ENSMUSG00000002266.18	Zim1	-0.676140065018519	1.90627108763785	0.169356249353143	2.37323198335673
ENSMUSG00000031924.5	Cyb5b	5.9201270359897	5.06397752614997	5.38269680356666	0.371683402681868
ENSMUSG00000038150.8	Ormdl3	7.10039677094073	7.40704189884375	7.36409749542553	0.032697346005557
ENSMUSG00000058655.10	Eif4b	5.7135355832241	6.07586799775248	5.77838346046544	0.537607234126721
ENSMUSG00000090150.11	Acad11	4.09973504922776	4.64395615983855	4.17137804005863	0.84304155155212
ENSMUSG00000022051.16	Bnip3l	5.57269783789002	5.92449514442731	5.86723895644157	0.0577361350126782
ENSMUSG00000030161.9	Gabarapl1	7.21966817697639	7.72715528625844	7.67537788848957	0.0519084332546675
ENSMUSG00000034863.10	Ano8	2.48898883279821	1.97594473821412	2.08717705895981	0.106479627967322
ENSMUSG00000035311.17	Gnptab	3.57476258919059	3.17970497141387	3.36754740179862	0.213199859181117
ENSMUSG00000028211.12	Trp53inp1	2.79831434274522	3.40355004074566	2.67900560414147	0.881948612111553
ENSMUSG00000049555.11	Tmie	-0.758151545368642	0.629951938355805	-0.0685751271913113	0.778829576914229
ENSMUSG00000027313.4	Chac1	1.7938220619858	3.10570329638861	2.66445313225301	0.479573325210077
ENSMUSG00000026672.12	Optn	3.96346717039728	4.56008233879679	4.19067239313736	0.5392690983882
ENSMUSG00000038696.15	Mapkap1	3.51766975924827	3.18885353773473	3.29141261360487	0.108594851674892
ENSMUSG00000020709.16	Adap2	4.81967708941762	6.01526393295683	5.00379426364406	1.84751506668267
ENSMUSG00000028104.15	Polr3gl	5.40190129427739	5.74671110763161	5.66265052713824	0.0865049952072015
ENSMUSG00000023004.9	Tuba1b	7.92396447001197	7.15130073784204	7.88824511334741	1.43619707179826
ENSMUSG00000014158.13	Trpv4	2.48562739659841	3.02785651657096	2.92256971760555	0.101636485431573
ENSMUSG00000032754.15	Slc8b1	4.61506430605005	4.97428163579626	4.59483038979072	0.595141689623889
ENSMUSG00000026623.17	Lpgat1	6.27958083350154	5.28801806620804	5.26732573682933	0
ENSMUSG00000019864.15	Rtn4ip1	1.65383408920166	1.16126539733428	1.16974521548728	0.00597430571585089
ENSMUSG00000022309.10	Angpt1	1.17241613784184	1.13350671319389	0.524465249709063	0
ENSMUSG00000038456.10	Dennd2a	2.6697088629972	2.97468932025813	2.82864658650339	0.0800878129951509
ENSMUSG00000002265.18	Peg3	3.39225178205438	5.08575758476959	3.68290249212178	2.50701204582588
ENSMUSG00000059878.13	Zfp422	2.65943946765548	2.84019715207683	2.50701474517223	0.227866516821586
ENSMUSG00000030421.10	Uri1	3.72579480066603	4.11541206056497	3.85239894773989	0.428070310038483
ENSMUSG00000029446.15	Psph	2.1437368146411	1.25125095511885	1.87693096272346	0.919891107665892
ENSMUSG00000053964.18	Lgals4	4.11140659728761	4.77963017554177	4.45485115755657	0.443789379556995
ENSMUSG00000023885.10	Thbs2	4.27589034643431	5.31125899111683	4.67959269248566	0.770822804498108
ENSMUSG00000025025.15	Mxi1	2.24432515437939	2.70158185422359	2.51237578416425	0.21406546043823
ENSMUSG00000021186.10	Fbln5	4.22015449211534	4.87848048248294	4.85615295210514	0.0222276362366701
ENSMUSG00000025930.7	Msc	0.868474125336418	1.83322437386651	1.41411304902232	0.489882097342603
ENSMUSG00000060961.17	Slc4a4	1.38935182160005	2.09566957773852	1.45429495920418	1.06422893217098
ENSMUSG00000090264.2	Eif4ebp3	0.618235365057022	1.54831892039296	1.32313207034763	0.116630504527658
ENSMUSG00000021371.6	Mcur1	3.96724898150744	3.60219145954067	3.79602134425747	0.249173350461882
ENSMUSG00000038446.9	Cdc40	2.10339162114753	2.56154401250552	1.80771742403232	0.675628295769941
ENSMUSG00000021356.11	Irf4	1.4030631808919	2.41231017511312	1.83571334223626	0.367355957622201
ENSMUSG00000048503.8	Tlcd5	0.610541686728653	1.51492802416816	0.800345630928842	1.05978037762769
ENSMUSG00000038429.11	Usp5	4.6794108186815	4.36967015611007	4.50791785555101	0.163935184589926
ENSMUSG00000049115.16	Agtr1a	2.79233083555355	3.46958482040845	2.82224921171408	1.20338675526345
ENSMUSG00000030652.12	Coq7	1.78440456383293	1.27973787679061	1.32896499780976	0.0323469857629771
ENSMUSG00000023150.15	Ivns1abp	5.62226921423968	6.48490755032184	5.88321058190634	1.01493868739749
ENSMUSG00000033720.13	Sfxn5	1.78173421956831	0.84568450850846	1.23687071824239	0.426902231036392
ENSMUSG00000020744.14	Slc25a19	4.63086890951849	3.72540140803503	4.68507597079559	1.71358153123238
ENSMUSG00000057137.10	Tmem140	4.04922961344512	4.79245142053885	3.85874890842991	1.30709507451114
ENSMUSG00000027346.16	Gpcpd1	2.88929902038765	3.22273879245003	2.62983691113299	0.388059307138851
ENSMUSG00000027357.17	Crls1	4.73485020326214	5.51514934337926	4.94029842426739	0.941567452279455
ENSMUSG00000070002.8	Ell	4.01324656405359	4.56168097260152	4.08239146945401	0.878179427123235
ENSMUSG00000025817.13	Nudt5	2.48092959946262	2.03234319003669	2.32623956646341	0.408924833379941
ENSMUSG00000020472.15	Zkscan17	2.29123010905378	2.76466324506496	2.5265626218536	0.298465533723552
ENSMUSG00000027206.14	Cops2	4.7427718267429	4.92961252107279	4.77572036511878	0.2056148754685
ENSMUSG00000028961.16	Pgd	5.5709956212479	5.04000546318632	5.41860548704265	0.563935362411145
