Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000061740.9	Cyp2d22	0.939784273450963	0.000251058705883856
ENSMUSG00000033720.13	Sfxn5	-0.78135894693864	0.00101489950057353
ENSMUSG00000032997.17	Chpf	-0.475857992436399	0.00231736769529928
ENSMUSG00000045193.14	Cirbp	0.72930711628368	0.00231736769529928
ENSMUSG00000048970.10	C1galt1c1	-0.376606954689239	0.00231736769529928
ENSMUSG00000032271.14	Nnmt	-1.31301252060227	0.00231736769529928
ENSMUSG00000035773.7	Kiss1r	1.23784157457883	0.00231736769529928
ENSMUSG00000038074.17	Fkbp14	-0.589098979243162	0.00231736769529928
ENSMUSG00000002266.18	Zim1	1.89556166189872	0.00231736769529928
ENSMUSG00000070436.13	Serpinh1	-1.03490897948501	0.00255374564302591
ENSMUSG00000025930.7	Msc	0.813633716177599	0.00231736769529928
ENSMUSG00000036968.16	Cnpy4	-0.398020451947052	0.00258766774845021
ENSMUSG00000052214.10	Opa3	-0.483831210962266	0.00258766774845021
ENSMUSG00000028150.15	Rorc	1.0289382372301	0.00258766774845021
ENSMUSG00000049555.11	Tmie	0.928979765898708	0.00231736769529928
ENSMUSG00000053964.18	Lgals4	0.654447338801462	0.00264197818316405
ENSMUSG00000027188.9	Pamr1	0.75125783528094	0.00295269669464627
ENSMUSG00000028107.15	Tars2	-0.302814262234994	0.00306609920714313
ENSMUSG00000079317.11	Trappc2	-0.44322219233051	0.00315632671790858
ENSMUSG00000031889.10	D230025D16Rik	0.500384871821914	0.00315632671790858
ENSMUSG00000030061.17	Uba3	-0.305132882922335	0.00315632671790858
ENSMUSG00000023150.15	Ivns1abp	0.856270493555761	0.00315632671790858
ENSMUSG00000064294.13	Aox3	0.779590195594394	0.00315632671790858
ENSMUSG00000025792.10	Slc25a10	-1.3141520264793	0.00315632671790858
ENSMUSG00000032557.14	Uba5	-0.428241542904485	0.00315632671790858
ENSMUSG00000026005.16	Rpe	-0.542629018800869	0.00315632671790858
ENSMUSG00000042726.15	Trafd1	0.526062047333586	0.0032135967685638
ENSMUSG00000048503.8	Tlcd5	0.733626435686864	0.00320039982636186
ENSMUSG00000020937.15	Plcd3	0.682414094562656	0.00330738221243689
ENSMUSG00000022774.14	Ncbp2	-0.402373596822149	0.00349845890305505
ENSMUSG00000015165.17	Hnrnpl	0.317562429905045	0.00353014952595234
ENSMUSG00000025759.12	Mfsd8	-0.515393846497221	0.00357584566060453
ENSMUSG00000034059.15	Ypel4	0.620407410121122	0.00326358940984491
ENSMUSG00000031924.5	Cyb5b	-0.847504822482189	0.00394181347944855
ENSMUSG00000023004.9	Tuba1b	-0.770760894686582	0.00394181347944855
ENSMUSG00000037366.15	Pafah2	-0.521129664681129	0.00394181347944855
ENSMUSG00000038696.15	Mapkap1	-0.314150557361334	0.00411751992725358
ENSMUSG00000019864.15	Rtn4ip1	-0.415762055600209	0.00411751992725358
ENSMUSG00000020263.15	Appl2	0.407295864637394	0.00445353083930945
ENSMUSG00000022358.8	Fbxo32	0.89520400931983	0.00450677448847003
ENSMUSG00000021903.12	Galnt15	0.821877443576407	0.00523737646457508
ENSMUSG00000023019.13	Gpd1	-1.22274831608716	0.00529518735608042
ENSMUSG00000048355.3	Arxes1	-0.743449078147455	0.00534178529382156
ENSMUSG00000048578.12	Mlec	-0.499439431299366	0.00551487886003997
ENSMUSG00000027313.4	Chac1	1.1993455223334	0.00551487886003997
ENSMUSG00000048100.14	Taf13	-0.492171621336901	0.00551487886003997
ENSMUSG00000020326.8	Ccng1	-0.453313610819423	0.00551487886003997
ENSMUSG00000002265.18	Peg3	1.64642382598308	0.00551487886003997
ENSMUSG00000020744.14	Slc25a19	-0.881800561568064	0.00551487886003997
ENSMUSG00000025025.15	Mxi1	0.420620100310899	0.00551487886003997
ENSMUSG00000011752.8	Pgam1	-0.412378340575833	0.00551487886003997
ENSMUSG00000039956.10	Mrap	-0.878093174083012	0.00551487886003997
ENSMUSG00000060935.7	Tmem263	-0.373746943558656	0.00603482674057822
ENSMUSG00000018983.10	E2f2	-0.758396606428969	0.00551487886003997
ENSMUSG00000020709.16	Adap2	1.18338340602876	0.00606234316595242
ENSMUSG00000049115.16	Agtr1a	0.64363396654554	0.00689853933606595
ENSMUSG00000020472.15	Zkscan17	0.436875183733151	0.00708760348236236
ENSMUSG00000027710.15	Acad9	-0.46031165021032	0.00716530830974617
ENSMUSG00000047181.13	Samd14	0.595256037298499	0.00730149233115256
ENSMUSG00000076431.5	Sox4	1.08748224811559	0.00730149233115256
ENSMUSG00000021186.10	Fbln5	0.645151409117164	0.00730149233115256
ENSMUSG00000036833.17	Pnpla7	0.698921807021824	0.00730149233115256
ENSMUSG00000030421.10	Uri1	0.377893097908539	0.00730149233115256
ENSMUSG00000081058.6	H3c15	-1.36233370167331	0.00551487886003997
ENSMUSG00000035517.18	Tdrd7	-0.466953051398408	0.00746215165103323
ENSMUSG00000026643.17	Nmt2	0.382311483541162	0.00832364749635938
ENSMUSG00000028274.18	Rngtt	-0.292810331785439	0.0093035883797761
ENSMUSG00000030104.10	Edem1	-0.365285605502976	0.00923752167158711
ENSMUSG00000029446.15	Psph	-0.777450397049614	0.00940406190594962
ENSMUSG00000006301.18	Tmbim1	0.556573820714578	0.00940406190594962
ENSMUSG00000024481.6	Lvrn	0.831551674090518	0.00940406190594962
ENSMUSG00000020571.14	Pdia6	-0.593181971949895	0.00954567801760364
ENSMUSG00000028088.15	Fmo5	0.554460882165494	0.00940406190594962
ENSMUSG00000032172.9	Olfm2	0.614191881812642	0.00969152768290761
ENSMUSG00000032181.8	Scg3	0.686949424720933	0.00965229117419675
ENSMUSG00000014195.17	Dnajc7	0.298616021211579	0.00965593780801591
ENSMUSG00000023249.16	Parp3	-0.518380535348748	0.00969152768290761
ENSMUSG00000019278.6	Dpep1	0.581242763006772	0.0103259061374368
ENSMUSG00000026192.14	Atic	-0.305993999978375	0.0102772083750153
ENSMUSG00000034424.6	Gcsh	-0.644548472813778	0.010352417356028
ENSMUSG00000003378.10	Grik5	0.492502595998982	0.011179861468985
ENSMUSG00000038967.14	Pdk2	0.628285614422191	0.011179861468985
ENSMUSG00000002741.10	Ykt6	-0.325349633730593	0.011179861468985
ENSMUSG00000020432.13	Tcn2	0.43913800164155	0.01157061822429
ENSMUSG00000028277.14	Ube2j1	0.316617848076396	0.01157061822429
ENSMUSG00000033318.8	Gstt2	0.726657279930582	0.01157061822429
ENSMUSG00000057137.10	Tmem140	0.726690754725748	0.0117410879964926
ENSMUSG00000000901.18	Mmp11	1.38647823556783	0.0123680237422955
ENSMUSG00000025104.14	Hdgfl3	0.354342005397573	0.0131401580761222
ENSMUSG00000021047.8	Nova1	0.523531169546425	0.0131401580761222
ENSMUSG00000021371.6	Mcur1	-0.352688380859666	0.0131401580761222
ENSMUSG00000029167.14	Ppargc1a	0.619922668661699	0.0132896504254129
ENSMUSG00000027429.17	Sec23b	-0.409928046940388	0.0131401580761222
ENSMUSG00000070002.8	Ell	0.53461956469368	0.0132061077638651
ENSMUSG00000028954.12	Nub1	0.265207891655963	0.0132340528644641
ENSMUSG00000032715.10	Trib3	0.643125230923607	0.0138411329808212
ENSMUSG00000026672.12	Optn	0.58150153769326	0.0132896504254129
ENSMUSG00000066894.15	Vsig10	0.632155619681154	0.0138411329808212
ENSMUSG00000030161.9	Gabarapl1	0.506210773860936	0.0138411329808212
ENSMUSG00000032898.10	Fbxo21	0.947177036097567	0.0138411329808212
ENSMUSG00000028329.14	Xpa	0.518435562486842	0.0142158659588719
ENSMUSG00000020034.8	Tcp11l2	0.467880143126374	0.0138411329808212
ENSMUSG00000027327.17	1700037H04Rik	-0.615829333185981	0.0141604660230492
ENSMUSG00000031613.10	Hpgd	1.059535327527	0.0142158659588719
ENSMUSG00000022051.16	Bnip3l	0.348742446401587	0.0147209277111821
ENSMUSG00000022837.15	Iqcb1	0.380857950206793	0.0148987603987277
ENSMUSG00000050103.19	Agmo	0.509618568346647	0.0145801089294515
ENSMUSG00000032633.13	Flcn	0.477538031509564	0.0145801089294515
ENSMUSG00000025817.13	Nudt5	-0.408108629096288	0.0147209277111821
ENSMUSG00000038429.11	Usp5	-0.303495724974787	0.0147209277111821
ENSMUSG00000026109.15	Tmeff2	0.428825972244299	0.0148987603987277
ENSMUSG00000002504.16	Slc9a3r2	0.467391826221877	0.0148987603987277
ENSMUSG00000078429.10	Ctdsp2	0.313431878004119	0.0152740915334054
ENSMUSG00000052392.6	Acot4	1.13435184074102	0.015415201696797
ENSMUSG00000019883.12	Echdc1	-0.559888970813827	0.0148987603987277
ENSMUSG00000058655.10	Eif4b	0.359399963198203	0.015415201696797
ENSMUSG00000034614.15	Pik3ip1	0.741648227608892	0.015415201696797
ENSMUSG00000045441.6	Gprin3	1.1405368896426	0.0160524015721047
ENSMUSG00000026104.15	Stat1	-0.573805022556912	0.015415201696797
ENSMUSG00000070730.12	Rmdn3	-0.390015747330595	0.015415201696797
ENSMUSG00000038446.9	Cdc40	0.418531435968989	0.015415201696797
ENSMUSG00000022385.12	Gtse1	-0.636896487350346	0.0148987603987277
ENSMUSG00000027879.10	Sec22b	-0.355075106771712	0.0157563540957836
ENSMUSG00000031232.18	Magt1	-0.419485842790944	0.0157563540957836
ENSMUSG00000026623.17	Lpgat1	-0.982640706071463	0.0164120190498343
ENSMUSG00000028133.18	Rwdd3	0.612286163301993	0.0164120190498343
ENSMUSG00000032309.16	Fbxo22	-0.359037511829304	0.016211003879496
ENSMUSG00000032850.17	Rnft2	-0.642829467258837	0.0167440533458803
ENSMUSG00000005674.10	Tomm40l	-0.462435788521399	0.0164120190498343
ENSMUSG00000028156.13	Eif4e	-0.314414072014001	0.0164120190498343
ENSMUSG00000038412.9	Higd1a	-0.711156149339674	0.0164120190498343
ENSMUSG00000035121.7	Neil2	0.600174890161221	0.0175937199511136
ENSMUSG00000074794.11	Arrdc3	1.18409218970403	0.0167440533458803
ENSMUSG00000021048.8	Mthfd1	-0.305612149491768	0.0167440533458803
ENSMUSG00000063229.16	Ldha	-0.642319452894866	0.0184218930650164
ENSMUSG00000020538.16	Srebf1	-0.790326993080543	0.0178179242060992
ENSMUSG00000032126.17	Hmbs	-0.545419001002885	0.0178179242060992
ENSMUSG00000001482.16	Def8	-0.269110258753692	0.0178179242060992
ENSMUSG00000011306.8	Sugp1	0.272879862970784	0.0186855411871297
ENSMUSG00000019929.17	Dcn	0.523107228027412	0.0203654876790191
ENSMUSG00000029311.17	Hsd17b11	0.400620879409934	0.0190180980808565
ENSMUSG00000064127.14	Med14	0.529887242290775	0.0195988510999185
ENSMUSG00000014158.13	Trpv4	0.505983906356576	0.0198874058946231
ENSMUSG00000050549.9	Fam241a	-0.653623897639815	0.0208227189985291
ENSMUSG00000029370.11	Rassf6	0.746987216881914	0.0164120190498343
ENSMUSG00000028690.5	Mmachc	-0.40272106190887	0.0207340434878878
ENSMUSG00000020464.16	Pnpt1	-0.269400509614672	0.0200418206553971
ENSMUSG00000038302.15	Afg1l	-0.362033603028582	0.0213870393135316
ENSMUSG00000032006.16	Pdgfd	0.430606217297137	0.0208227189985291
ENSMUSG00000024165.10	Jpt2	-0.605912030928553	0.0208227189985291
ENSMUSG00000051225.10	Fam83a	-1.31323432595929	0.0228003486120922
ENSMUSG00000025268.16	Maged2	-0.47108179328783	0.0219524154916018
ENSMUSG00000031985.10	Gnpat	-0.4856083686988	0.0226290707766361
ENSMUSG00000019989.9	Enpp3	0.535914486013969	0.0228003486120922
ENSMUSG00000044068.8	Zrsr1	0.381816365508283	0.0226290707766361
ENSMUSG00000028826.15	Maco1	0.371142171386947	0.0228003486120922
ENSMUSG00000021666.17	Gfm2	-0.255239375068821	0.0228003486120922
ENSMUSG00000027357.17	Crls1	0.770335957117124	0.0228003486120922
ENSMUSG00000036613.9	Eipr1	-0.450320074403057	0.0242537691615941
ENSMUSG00000020520.15	Galnt10	-0.412218155580677	0.0230877695831726
ENSMUSG00000031432.4	Prps1	-0.670587947093255	0.0231809017239682
ENSMUSG00000000184.13	Ccnd2	-0.707545081624293	0.0240129790245547
ENSMUSG00000028044.7	Cks1b	-0.551383795461119	0.0244646230027478
ENSMUSG00000023832.15	Acat2	-0.647860587350535	0.0240129790245547
ENSMUSG00000031864.17	Ints10	-0.309381119670736	0.0242537691615941
ENSMUSG00000021427.11	Ssr1	-0.279860650354331	0.0242537691615941
ENSMUSG00000089901.2	Gm8113	1.27159769613721	0.0248446734810991
ENSMUSG00000024150.13	Mcfd2	-0.304045151332367	0.0242537691615941
ENSMUSG00000037669.16	Ldah	-0.321867447034055	0.0240129790245547
ENSMUSG00000058446.15	Znrf2	-0.590530831706832	0.0242537691615941
ENSMUSG00000023456.17	Tpi1	-0.696610300018508	0.0246989186716585
ENSMUSG00000031309.16	Rps6ka3	-0.534117678965284	0.0242537691615941
ENSMUSG00000052833.10	Sae1	-0.295706889077338	0.0242537691615941
ENSMUSG00000045094.9	Arhgef37	1.09586254557291	0.0242537691615941
ENSMUSG00000034863.10	Ano8	-0.46579644586165	0.0242537691615941
ENSMUSG00000045795.11	Whamm	0.342861166198024	0.0242537691615941
ENSMUSG00000027074.15	Slc43a3	0.457052455131871	0.0248446734810991
ENSMUSG00000048489.13	Depp1	1.06120808824886	0.0242537691615941
ENSMUSG00000016487.16	Ppfibp1	0.519784854729288	0.0248446734810991
ENSMUSG00000032458.7	Copb2	-0.225549130816411	0.0247186957176853
ENSMUSG00000046312.5	Myorg	-0.855091233534106	0.024818470108233
ENSMUSG00000039037.6	St6galnac5	0.853301716710992	0.0248446734810991
ENSMUSG00000010914.11	Pdhx	-0.423528743805015	0.0248446734810991
ENSMUSG00000052229.6	Gpr17	0.498027021997388	0.02625934827838
ENSMUSG00000012428.10	Steap4	-1.03799753292757	0.0265884350191949
ENSMUSG00000026748.14	Plxdc2	0.398911589071759	0.0249174795630847
ENSMUSG00000090935.11	Synj2bp	-0.230865330957185	0.0248764950375346
ENSMUSG00000046215.4	Rprml	-1.24695044401846	0.0271096813911418
ENSMUSG00000037709.14	Fam13a	1.36297814086335	0.0261617770830805
ENSMUSG00000020088.11	Sar1a	-0.27868346673032	0.0265884350191949
ENSMUSG00000039988.15	Ankrd13c	-0.226121715507031	0.0255370098759692
ENSMUSG00000034083.17	Ccdc174	0.366808425812703	0.02625934827838
ENSMUSG00000005952.16	Trpv1	-0.648481529562063	0.02625934827838
ENSMUSG00000026172.13	Bcs1l	-0.481876609214551	0.0281472593769205
ENSMUSG00000049225.15	Pdp1	0.329440832063861	0.0265884350191949
