Geneid	Symbol	Young_AdLibitum.log2fpkm.mean	Young_Fast.log2fpkm.mean	Young_Refeed.log2fpkm.mean	Aged_AdLibitum.log2fpkm.mean	Aged_Fast.log2fpkm.mean	Aged_Refeed.log2fpkm.mean
ENSMUSG00000036833.17	Pnpla7	1.92214690210752	4.28826624667089	2.67883525867271	2.63897499059935	3.38311410342184	2.9203954256509
ENSMUSG00000020432.13	Tcn2	6.12462580289797	7.52919286651111	7.12774741110587	6.2065928866897	6.64807476363747	6.61796874984428
ENSMUSG00000038967.14	Pdk2	4.98503875261978	7.06532199887873	5.92315117919864	5.00490889240321	5.64073398817121	5.46816746198902
ENSMUSG00000022489.7	Pde1b	1.7539155309661	3.36387428923727	2.41596533787381	2.26254061195794	2.45611106840943	2.31801945314643
ENSMUSG00000028088.15	Fmo5	3.01231008266973	4.62658257967579	3.51810812038382	3.16029297746857	3.74032678933606	3.35654241279185
ENSMUSG00000050549.9	Fam241a	4.18799808481217	2.11190450874022	3.59608868473189	3.06897800403349	2.37119717874488	2.93967147440985
ENSMUSG00000029778.13	Adcyap1r1	2.38097171004317	4.6725983767678	3.26759367395324	2.254091953518	2.93687991885986	2.30993381375663
ENSMUSG00000028245.16	Nsmaf	2.34912291149681	3.34542237464962	2.55424415995314	2.69933006466304	2.98354560189602	2.76585155966024
ENSMUSG00000061740.9	Cyp2d22	4.32282700591447	5.98747888165319	5.05566259941326	4.25868091791364	5.21539258755783	4.95312902116924
ENSMUSG00000020614.14	Fam20a	1.91638635654792	3.74478442066586	2.48816875151228	1.92906756445141	2.42777553062043	2.44099449896154
ENSMUSG00000028479.19	Gne	2.68052960611604	3.57073099415372	2.76385528278199	2.79178026784322	2.9859876064291	2.76140358723594
ENSMUSG00000006301.18	Tmbim1	3.94562154803624	5.47812190055459	4.57142719565983	3.95356460924348	4.52460808844388	4.50465356557102
ENSMUSG00000025792.10	Slc25a10	6.2217668575898	3.15792418091377	5.02317545702696	5.45898928029541	4.12200788337934	4.70176623635492
ENSMUSG00000025950.17	Idh1	7.06111816889996	5.54990157220108	6.61133313482441	6.48123983806817	6.08793246186845	5.99474972540376
ENSMUSG00000020263.15	Appl2	3.22159287235401	4.16931728885111	3.67853669356007	3.64570073998048	4.06646408844968	3.83804123743424
ENSMUSG00000045795.11	Whamm	3.57842866218984	4.60507389715486	3.47293698802519	3.5001396350768	3.85587317040095	3.40973449924924
ENSMUSG00000042726.15	Trafd1	4.94766498561598	6.12635141371879	4.86198600657248	5.00182114825184	5.53440144775489	4.99956089417603
ENSMUSG00000038217.14	Tlcd2	3.69833984235102	1.33631987194212	2.18506347971258	2.26030417495459	1.91218592465751	1.99622509876041
ENSMUSG00000026643.17	Nmt2	2.48463989739661	3.46402531324267	2.48659358780508	2.52163120261479	2.9315253743865	2.52665402987203
ENSMUSG00000032376.13	Usp3	1.82671732276799	3.03985120477502	2.00388325552975	2.06583078942141	2.42003709969825	2.13990735933636
ENSMUSG00000031808.8	Slc27a1	6.72128529496304	8.97696845535793	7.5779053890125	6.975082243312	7.60280418826694	7.05863712094324
ENSMUSG00000020448.17	Rnf185	3.65948097130905	4.59859837349915	3.75238634557758	3.4567603038912	3.56735583979214	3.54060642637725
ENSMUSG00000030104.10	Edem1	4.50800963527503	3.67362895800558	3.92776318066498	4.67253007197958	4.29934439246719	4.38366260801411
ENSMUSG00000052214.10	Opa3	3.43735354759895	2.46338745145467	3.54271692452092	2.99414195095246	2.47519832607053	2.96875828664482
ENSMUSG00000031889.10	D230025D16Rik	3.20139715735348	4.24457991711352	3.12154342719379	2.88914478771256	3.41680233706261	2.75055932243498
ENSMUSG00000045730.5	Adrb2	1.71317021831546	4.1483261439411	1.97042191781395	2.30594131609195	2.71845070079707	2.63959759660277
ENSMUSG00000024413.15	Npc1	1.80799044978714	3.80857860749346	2.28789555366413	2.39808542394364	2.96494336823454	2.59906958301351
ENSMUSG00000020034.8	Tcp11l2	3.27102487831502	4.45046253154816	3.33171459977704	3.56698104941479	4.05041284421515	3.49940491450073
ENSMUSG00000002266.18	Zim1	-2.04441869769522	3.82075060026796	0.296407083027574	-0.676140065018519	1.90627108763785	0.169356249353143
ENSMUSG00000031924.5	Cyb5b	6.93886930060667	5.10535880085705	6.49580459436111	5.9201270359897	5.06397752614997	5.38269680356666
ENSMUSG00000038150.8	Ormdl3	7.08101403724957	8.20468769032558	7.71210622315725	7.10039677094073	7.40704189884375	7.36409749542553
ENSMUSG00000058655.10	Eif4b	5.53289117347769	6.42724936444172	5.83515146476939	5.7135355832241	6.07586799775248	5.77838346046544
ENSMUSG00000090150.11	Acad11	3.64557857196389	5.26291046260637	4.29443126473963	4.09973504922776	4.64395615983855	4.17137804005863
ENSMUSG00000022051.16	Bnip3l	5.4816485173449	6.34793778684181	5.9914097612848	5.57269783789002	5.92449514442731	5.86723895644157
ENSMUSG00000030161.9	Gabarapl1	6.98737564021762	8.20730560047089	7.47517948623872	7.21966817697639	7.72715528625844	7.67537788848957
ENSMUSG00000034863.10	Ano8	3.07775517671958	1.72935683966528	2.52772770203829	2.48898883279821	1.97594473821412	2.08717705895981
ENSMUSG00000035311.17	Gnptab	3.9269584765436	2.80755456778421	3.82656291652472	3.57476258919059	3.17970497141387	3.36754740179862
ENSMUSG00000028211.12	Trp53inp1	2.37072481567156	4.87943181115194	2.55231885793783	2.79831434274522	3.40355004074566	2.67900560414147
ENSMUSG00000049555.11	Tmie	-0.349599257527983	1.80867794030455	0.468004507250318	-0.758151545368642	0.629951938355805	-0.0685751271913113
ENSMUSG00000027313.4	Chac1	1.93726442657542	4.45810251735764	2.47687251704541	1.7938220619858	3.10570329638861	2.66445313225301
ENSMUSG00000026672.12	Optn	3.75632713442438	5.17680409873727	3.99976130222421	3.96346717039728	4.56008233879679	4.19067239313736
ENSMUSG00000038696.15	Mapkap1	3.70644597720766	3.05557623540691	3.44567603767953	3.51766975924827	3.18885353773473	3.29141261360487
ENSMUSG00000020709.16	Adap2	3.88331287082675	6.55054622709909	4.45883013664423	4.81967708941762	6.01526393295683	5.00379426364406
ENSMUSG00000028104.15	Polr3gl	5.41816679475247	6.36212271045178	5.66732278982936	5.40190129427739	5.74671110763161	5.66265052713824
ENSMUSG00000023004.9	Tuba1b	8.45262292626657	6.93693958028506	7.99034404446969	7.92396447001197	7.15130073784204	7.88824511334741
ENSMUSG00000014158.13	Trpv4	1.91344347398537	3.30838988042862	2.54162747344369	2.48562739659841	3.02785651657096	2.92256971760555
ENSMUSG00000032754.15	Slc8b1	3.88891609449469	5.09981089615151	3.94155700037088	4.61506430605005	4.97428163579626	4.59483038979072
ENSMUSG00000026623.17	Lpgat1	6.16021097010569	3.95297487051321	5.284570503959	6.27958083350154	5.28801806620804	5.26732573682933
ENSMUSG00000019864.15	Rtn4ip1	2.15293770840629	1.25891150911548	1.93787840803173	1.65383408920166	1.16126539733428	1.16974521548728
ENSMUSG00000022309.10	Angpt1	3.09421735425099	1.23322844939765	2.33235014576519	1.17241613784184	1.13350671319389	0.524465249709063
ENSMUSG00000038456.10	Dennd2a	2.10725506946439	3.47451640713696	2.76506789379873	2.6697088629972	2.97468932025813	2.82864658650339
ENSMUSG00000002265.18	Peg3	2.2375862745347	5.65578435519286	2.99169464929019	3.39225178205438	5.08575758476959	3.68290249212178
ENSMUSG00000059878.13	Zfp422	2.6708114533621	3.3126176187085	2.64206271627193	2.65943946765548	2.84019715207683	2.50701474517223
ENSMUSG00000030421.10	Uri1	3.90965618573903	4.72278538806787	4.2530030876557	3.72579480066603	4.11541206056497	3.85239894773989
ENSMUSG00000029446.15	Psph	2.79900826935022	0.886754535256096	2.54988975040585	2.1437368146411	1.25125095511885	1.87693096272346
ENSMUSG00000053964.18	Lgals4	3.85215216811546	5.04039608721988	3.80977055738594	4.11140659728761	4.77963017554177	4.45485115755657
ENSMUSG00000023885.10	Thbs2	1.71733022293102	4.73003303018263	3.5078229491206	4.27589034643431	5.31125899111683	4.67959269248566
ENSMUSG00000025025.15	Mxi1	1.98625741391951	2.90818063384568	2.43234123603045	2.24432515437939	2.70158185422359	2.51237578416425
ENSMUSG00000021186.10	Fbln5	3.67040663878602	5.00858766890173	4.49204692109684	4.22015449211534	4.87848048248294	4.85615295210514
ENSMUSG00000025930.7	Msc	-0.330247213241845	1.59220901281373	0.311591308233199	0.868474125336418	1.83322437386651	1.41411304902232
ENSMUSG00000060961.17	Slc4a4	0.896158422406252	2.82840662534668	1.72605469481022	1.38935182160005	2.09566957773852	1.45429495920418
ENSMUSG00000090264.2	Eif4ebp3	0.468635297028824	3.72987741132125	1.8840917361196	0.618235365057022	1.54831892039296	1.32313207034763
ENSMUSG00000021371.6	Mcur1	4.39192877623433	3.57402283700991	4.17898015499086	3.96724898150744	3.60219145954067	3.79602134425747
ENSMUSG00000038446.9	Cdc40	1.99811204366851	3.04419653827692	1.95629238964177	2.10339162114753	2.56154401250552	1.80771742403232
ENSMUSG00000021356.11	Irf4	0.606502806736957	5.30962917843441	1.42331336096923	1.4030631808919	2.41231017511312	1.83571334223626
ENSMUSG00000048503.8	Tlcd5	0.719160671701384	2.22795246824789	0.83395344070889	0.610541686728653	1.51492802416816	0.800345630928842
ENSMUSG00000038429.11	Usp5	4.96018589331392	4.26331058235192	4.72710472191314	4.6794108186815	4.36967015611007	4.50791785555101
ENSMUSG00000049115.16	Agtr1a	2.66537104777861	4.01073997957215	2.88159943916415	2.79233083555355	3.46958482040845	2.82224921171408
ENSMUSG00000030652.12	Coq7	2.53188265514914	0.944565296612178	1.63650779044952	1.78440456383293	1.27973787679061	1.32896499780976
ENSMUSG00000023150.15	Ivns1abp	5.11278082359017	6.62067054718608	5.57127515078704	5.62226921423968	6.48490755032184	5.88321058190634
ENSMUSG00000033720.13	Sfxn5	2.19279204429214	0.880891146030721	2.31346328078583	1.78173421956831	0.84568450850846	1.23687071824239
ENSMUSG00000020744.14	Slc25a19	5.23710198186321	3.43700232291816	5.63698513625572	4.63086890951849	3.72540140803503	4.68507597079559
ENSMUSG00000057137.10	Tmem140	3.66636939880316	5.26360880876546	3.29284710620095	4.04922961344512	4.79245142053885	3.85874890842991
ENSMUSG00000027346.16	Gpcpd1	2.95615464814369	4.51958832652913	3.0864954272143	2.88929902038765	3.22273879245003	2.62983691113299
ENSMUSG00000027357.17	Crls1	4.84180392345876	6.79157833888781	4.88425656042753	4.73485020326214	5.51514934337926	4.94029842426739
ENSMUSG00000070002.8	Ell	3.84465707897037	5.02470393124631	4.0741131269758	4.01324656405359	4.56168097260152	4.08239146945401
ENSMUSG00000025817.13	Nudt5	3.15507815269053	2.21571245154469	2.79044658188725	2.48092959946262	2.03234319003669	2.32623956646341
ENSMUSG00000020472.15	Zkscan17	2.1508339301996	3.06622271106494	2.67113935277885	2.29123010905378	2.76466324506496	2.5265626218536
ENSMUSG00000027206.14	Cops2	4.80115776589415	5.38551170784592	4.91944462795513	4.7427718267429	4.92961252107279	4.77572036511878
ENSMUSG00000028961.16	Pgd	6.44069834924636	5.00296410803508	6.25764837097397	5.5709956212479	5.04000546318632	5.41860548704265
ENSMUSG00000002741.10	Ykt6	5.34287684846269	4.66094525661891	5.22152149376442	5.08875391082949	4.75841700178165	4.94589527068467
ENSMUSG00000020538.16	Srebf1	6.53939633029857	4.62290621970446	6.92962641503667	5.28422840243534	4.48120925692161	5.58588757228704
ENSMUSG00000037661.15	Gpr160	1.92095251696069	3.10569216588123	2.59701074252101	2.08750160253042	2.33856455070553	2.65577236126061
ENSMUSG00000022546.6	Gpt	6.22927187174301	2.56743601045631	4.74375632461156	5.22970683866735	3.91503197018642	4.05535491466432
ENSMUSG00000037366.15	Pafah2	2.5721056233226	1.49244765048307	2.11673200494461	2.63328351687379	2.06378343584718	1.99737219561727
ENSMUSG00000036104.13	Rab3gap1	2.33672457952101	3.36233510884694	2.36218210155145	2.29790326477549	2.51127230778377	2.17208316073314
ENSMUSG00000005299.7	Letm1	3.32362505301826	2.42200650430695	2.93179164441535	2.89015757106177	2.54830578330483	2.5688592908241
ENSMUSG00000018740.15	Slc25a35	3.87910497428511	1.58205029144657	3.86036446922972	2.79207240869317	2.01298897688396	2.5572376565339
ENSMUSG00000027188.9	Pamr1	1.132567039694	2.62012495021661	2.19171357355025	2.99916979286955	3.78720686296798	3.85807280445571
ENSMUSG00000025937.7	Lactb2	4.14910093616455	3.10901735998215	3.6213985498397	3.40920087978082	3.09140138301864	3.14548949668853
ENSMUSG00000022540.17	Rogdi	3.71504543702182	4.86673553120157	4.39767161049389	3.59063607167155	4.02058529647491	4.05656823217411
ENSMUSG00000048355.3	Arxes1	4.15075622335783	2.65655649570877	3.05541167921735	4.10953229604153	3.33897880801831	3.62379383098802
ENSMUSG00000009633.4	G0s2	8.71447414023412	6.52047945353648	8.5379969239067	8.30123565879494	7.96160574153707	8.39296413834539
ENSMUSG00000023019.13	Gpd1	8.55298054620072	6.25799879284625	8.88444759583228	7.52412295239928	6.29634767546831	7.94324527624115
ENSMUSG00000079317.11	Trappc2	2.63260331447891	1.85650970842527	2.40597750184378	2.25565105381498	1.76003416715594	2.1070109495173
ENSMUSG00000052934.15	Fbxo31	3.23053662425385	5.37642732587405	3.9967669652428	3.1064436844992	3.5238695190569	3.4567909247424
ENSMUSG00000023249.16	Parp3	5.55379700624206	4.53471814565081	5.19272981180451	5.38109059932902	4.85571784768202	5.27575556713682
ENSMUSG00000052392.6	Acot4	0.548830679561749	3.33570363556299	1.4163071993037	0.700532928681135	2.04912339926951	0.994636016650816
ENSMUSG00000024842.9	Cabp4	-0.882856968316091	0.858309717987345	-0.332886115891381	-0.881342286925471	-0.185706392253579	-0.660127236996387
ENSMUSG00000022747.18	St3gal6	2.08682540699516	3.3145025610607	2.54922268210602	1.79726739211694	2.24351264728447	2.07464419192599
ENSMUSG00000072676.13	Tmem254a	5.98995197680954	4.48399264270482	4.89200083972496	5.06715967630565	4.48547290497216	4.69214424388748
ENSMUSG00000027187.11	Cat	8.21194447649705	9.75998427240194	8.92674804715575	7.90672053328016	8.21295040351651	8.00481445544857
ENSMUSG00000027774.17	Gfm1	3.73128993212885	3.013696509678	3.46841622248768	3.33358339545931	3.01889782446811	2.99105335763799
ENSMUSG00000011257.20	Pabpc4	4.4675300023959	5.21707221861716	4.75636589372881	4.3242376006045	4.48014048234531	4.52347658948094
ENSMUSG00000011752.8	Pgam1	5.72708269653638	4.97464718600937	5.52160824806934	5.25678638652501	4.83873834570907	5.06016112406077
ENSMUSG00000028954.12	Nub1	4.14904533650341	4.6923947633951	4.21225273216907	4.18310906327349	4.45462750876138	4.30647364999386
ENSMUSG00000010914.11	Pdhx	4.01561179889966	3.06253110649006	3.99107006832093	3.15613101280427	2.70660641894551	2.98667763547655
ENSMUSG00000054484.15	Tmem62	2.03823781772539	3.18428393859841	2.1569920410625	2.09860451629165	2.4945222099441	2.25038247369612
ENSMUSG00000019278.6	Dpep1	5.38419321619369	6.42785613902095	6.01844670583782	6.32568312757899	6.90974104639738	6.78027390317632
ENSMUSG00000003378.10	Grik5	1.52974614540888	2.58421937561178	1.94892946143932	1.63573500880028	2.19151167504213	1.94252229863714
ENSMUSG00000021482.11	Prxl2c	4.02855805594803	4.57085017789538	4.19272393759242	4.08873785627388	4.21701901953013	4.09655546993478
ENSMUSG00000023456.17	Tpi1	7.14788164984397	5.64880764611791	6.30541729818885	6.99620700315956	6.29623807897992	6.47985757656903
ENSMUSG00000029370.11	Rassf6	-1.20590958487644	1.46185104131546	-0.576402778162875	-2.3071044060278	-0.606056278407526	-1.04875907628099
ENSMUSG00000048489.13	Depp1	5.00663437228099	7.52367979615244	4.98414320456019	4.702260722276	5.77524529772177	5.18770951574709
ENSMUSG00000026626.12	Ppp2r5a	6.41108739811665	4.89251622064725	6.03633129083356	5.2694432251809	4.78162717244134	5.15692639425635
ENSMUSG00000027074.15	Slc43a3	5.08382204554988	6.05874730549171	5.51536400353268	5.61219122498652	6.07324024687594	5.84250033235459
ENSMUSG00000024937.16	Ehbp1l1	4.62654088202893	3.85299786072482	4.30097711026648	4.49991969673407	4.24885673126903	4.42356129566884
ENSMUSG00000028671.17	Gale	4.60739352475853	2.59063164854896	4.01527181858594	3.38831575026966	2.65840593468885	3.06448990415155
ENSMUSG00000031309.16	Rps6ka3	4.91030257020527	3.72405276727522	4.48301264202412	4.55817299869438	4.01046871834195	3.96131077485485
ENSMUSG00000058446.15	Znrf2	5.16257310391171	3.85040944812791	4.54885166464216	4.7499255562104	4.14668724374982	4.27413596214624
ENSMUSG00000028107.15	Tars2	2.50815730707521	1.98954167325319	2.20274054816468	2.45193314175129	2.11879494664501	2.28414173382751
ENSMUSG00000021752.15	Kctd6	2.85919773255493	3.59621069119185	3.12397504817025	2.4334613712585	2.69146330776221	2.56913079771613
ENSMUSG00000062822.9	4833420G17Rik	2.94484668972646	3.50068049818344	2.92971103167955	3.15656984796342	3.40744576273347	3.11058330811385
ENSMUSG00000002504.16	Slc9a3r2	5.40729170060518	6.40977853592335	6.00398379159288	4.90625179998276	5.37994460876899	5.58699784523488
ENSMUSG00000041939.15	Mvk	3.7143979902055	2.21064199285005	2.86480561946241	3.20815479679353	2.64849225951626	2.8515902014896
ENSMUSG00000034829.9	Nxnl1	0.116754487024209	1.90339170187491	-0.141526273944551	0.1010806070297	0.274102656395743	-0.665195486747723
ENSMUSG00000028044.7	Cks1b	4.41338817180365	3.22215237574453	3.97034614796203	3.96678706065608	3.39696173273014	3.90208443807997
ENSMUSG00000046027.18	Stard5	2.41700175625726	3.40924130983078	3.06504485602158	2.79414439657551	3.06768672126826	3.04529736831901
ENSMUSG00000002083.14	Bbc3	3.73823057685741	1.93752869927236	2.93921357375045	2.50948032920298	2.1186736884211	2.17601523563374
ENSMUSG00000027433.6	Xrn2	3.73516482389707	4.30321595192613	3.78464483074413	3.95214035369998	4.14860510281935	3.84674122620335
ENSMUSG00000027884.17	Clcc1	3.06123366889172	3.54710778253711	3.16904519254454	3.17416752466695	3.30771541977167	3.1892230144671
ENSMUSG00000032898.10	Fbxo21	3.83132818172058	5.72359536841796	4.04077363796669	4.26133943874859	5.2284757657211	4.35950598954097
ENSMUSG00000022180.8	Slc7a8	2.88063563951708	4.44741391487885	3.24359015247771	3.43548741088438	3.82997850976228	3.12875305694401
ENSMUSG00000020905.12	Usp43	-0.203312659854361	1.49280531110672	0.500587143200762	-0.655670714719544	-0.0433405216417864	-0.313217172055309
ENSMUSG00000041775.8	Mapk1ip1	3.80801933940669	4.75442847977335	3.94254264705185	3.91464269927296	4.31694151289263	4.14504002219102
ENSMUSG00000058258.15	Idi1	2.65783465572514	1.02815631480784	2.04141246971819	1.48615781978653	1.04059609505891	1.16726584122865
ENSMUSG00000034059.15	Ypel4	-0.266094038971266	1.08200911167606	0.074428855082223	0.410512732788043	1.19961549435422	0.990029134821999
ENSMUSG00000001576.16	Ergic1	4.15963939687417	3.21738167429823	3.97370401056622	3.7813232199453	3.45613288501427	3.78050521861915
