Geneid	Symbol	Young_AdLibitum.log2fpkm.mean	Young_Fast.log2fpkm.mean	Young_Refeed.log2fpkm.mean	Young_GElaS
ENSMUSG00000036833.17	Pnpla7	1.92214690210752	4.28826624667089	2.67883525867271	2.60037395464936
ENSMUSG00000020432.13	Tcn2	6.12462580289797	7.52919286651111	7.12774741110587	0.51483835079357
ENSMUSG00000038967.14	Pdk2	4.98503875261978	7.06532199887873	5.92315117919864	1.76109640089558
ENSMUSG00000022489.7	Pde1b	1.7539155309661	3.36387428923727	2.41596533787381	1.41861377931492
ENSMUSG00000028088.15	Fmo5	3.01231008266973	4.62658257967579	3.51810812038382	1.82078267080847
ENSMUSG00000050549.9	Fam241a	4.18799808481217	2.11190450874022	3.59608868473189	2.37923811996334
ENSMUSG00000029778.13	Adcyap1r1	2.38097171004317	4.6725983767678	3.26759367395324	2.20757705035894
ENSMUSG00000028245.16	Nsmaf	2.34912291149681	3.34542237464962	2.55424415995314	1.33729464959006
ENSMUSG00000061740.9	Cyp2d22	4.32282700591447	5.98747888165319	5.05566259941326	1.44005341311225
ENSMUSG00000020614.14	Fam20a	1.91638635654792	3.74478442066586	2.48816875151228	2.01742700306481
ENSMUSG00000028479.19	Gne	2.68052960611604	3.57073099415372	2.76385528278199	1.4594703181749
ENSMUSG00000006301.18	Tmbim1	3.94562154803624	5.47812190055459	4.57142719565983	1.42277364377797
ENSMUSG00000025792.10	Slc25a10	6.2217668575898	3.15792418091377	5.02317545702696	2.90605582125145
ENSMUSG00000025950.17	Idh1	7.06111816889996	5.54990157220108	6.61133313482441	1.79371210831433
ENSMUSG00000020263.15	Appl2	3.22159287235401	4.16931728885111	3.67853669356007	0.723382547314721
ENSMUSG00000045795.11	Whamm	3.57842866218984	4.60507389715486	3.47293698802519	1.90430867323138
ENSMUSG00000042726.15	Trafd1	4.94766498561598	6.12635141371879	4.86198600657248	2.25399841343732
ENSMUSG00000038217.14	Tlcd2	3.69833984235102	1.33631987194212	2.18506347971258	1.0062573114821
ENSMUSG00000026643.17	Nmt2	2.48463989739661	3.46402531324267	2.48659358780508	1.83820126322097
ENSMUSG00000032376.13	Usp3	1.82671732276799	3.03985120477502	2.00388325552975	1.77318251150542
ENSMUSG00000031808.8	Slc27a1	6.72128529496304	8.97696845535793	7.5779053890125	2.26351948466897
ENSMUSG00000020448.17	Rnf185	3.65948097130905	4.59859837349915	3.75238634557758	1.56898566617584
ENSMUSG00000030104.10	Edem1	4.50800963527503	3.67362895800558	3.92776318066498	0.32018269341717
ENSMUSG00000052214.10	Opa3	3.43735354759895	2.46338745145467	3.54271692452092	1.74200191349638
ENSMUSG00000031889.10	D230025D16Rik	3.20139715735348	4.24457991711352	3.12154342719379	1.94000684843323
ENSMUSG00000045730.5	Adrb2	1.71317021831546	4.1483261439411	1.97042191781395	3.91268372841851
ENSMUSG00000024413.15	Npc1	1.80799044978714	3.80857860749346	2.28789555366413	2.53241659314104
ENSMUSG00000020034.8	Tcp11l2	3.27102487831502	4.45046253154816	3.33171459977704	2.11246916361177
ENSMUSG00000002266.18	Zim1	-2.04441869769522	3.82075060026796	0.296407083027574	5.28048569055399
ENSMUSG00000031924.5	Cyb5b	6.93886930060667	5.10535880085705	6.49580459436111	2.42225628090293
ENSMUSG00000038150.8	Ormdl3	7.08101403724957	8.20468769032558	7.71210622315725	0.70725948808516
ENSMUSG00000058655.10	Eif4b	5.53289117347769	6.42724936444172	5.83515146476939	0.97771180676135
ENSMUSG00000090150.11	Acad11	3.64557857196389	5.26291046260637	4.29443126473963	1.52294821692135
ENSMUSG00000022051.16	Bnip3l	5.4816485173449	6.34793778684181	5.9914097612848	0.500107217317779
ENSMUSG00000030161.9	Gabarapl1	6.98737564021762	8.20730560047089	7.47517948623872	1.1693353236298
ENSMUSG00000034863.10	Ano8	3.07775517671958	1.72935683966528	2.52772770203829	1.13622595072925
ENSMUSG00000035311.17	Gnptab	3.9269584765436	2.80755456778421	3.82656291652472	1.85319551461576
ENSMUSG00000028211.12	Trp53inp1	2.37072481567156	4.87943181115194	2.55231885793783	4.31838317962248
ENSMUSG00000049555.11	Tmie	-0.349599257527983	1.80867794030455	0.468004507250318	1.82375906246599
ENSMUSG00000027313.4	Chac1	1.93726442657542	4.45810251735764	2.47687251704541	3.40750702469288
ENSMUSG00000026672.12	Optn	3.75632713442438	5.17680409873727	3.99976130222421	2.11154741081843
ENSMUSG00000038696.15	Mapkap1	3.70644597720766	3.05557623540691	3.44567603767953	0.593493383308661
ENSMUSG00000020709.16	Adap2	3.88331287082675	6.55054622709909	4.45883013664423	3.69850815407989
ENSMUSG00000028104.15	Polr3gl	5.41816679475247	6.36212271045178	5.66732278982936	1.19832164548665
ENSMUSG00000023004.9	Tuba1b	8.45262292626657	6.93693958028506	7.99034404446969	1.78075980372036
ENSMUSG00000014158.13	Trpv4	1.91344347398537	3.30838988042862	2.54162747344369	1.12462513679833
ENSMUSG00000032754.15	Slc8b1	3.88891609449469	5.09981089615151	3.94155700037088	2.22021135816447
ENSMUSG00000026623.17	Lpgat1	6.16021097010569	3.95297487051321	5.284570503959	2.08846006305693
ENSMUSG00000019864.15	Rtn4ip1	2.15293770840629	1.25891150911548	1.93787840803173	1.02620684056398
ENSMUSG00000022309.10	Angpt1	3.09421735425099	1.23322844939765	2.33235014576519	1.51511966099124
ENSMUSG00000038456.10	Dennd2a	2.10725506946439	3.47451640713696	2.76506789379873	1.02489836881478
ENSMUSG00000002265.18	Peg3	2.2375862745347	5.65578435519286	2.99169464929019	4.63204938820173
ENSMUSG00000059878.13	Zfp422	2.6708114533621	3.3126176187085	2.64206271627193	1.18530767050748
ENSMUSG00000030421.10	Uri1	3.90965618573903	4.72278538806787	4.2530030876557	0.72644443343787
ENSMUSG00000029446.15	Psph	2.79900826935022	0.886754535256096	2.54988975040585	2.69388118505098
ENSMUSG00000053964.18	Lgals4	3.85215216811546	5.04039608721988	3.80977055738594	2.28583247238987
ENSMUSG00000023885.10	Thbs2	1.71733022293102	4.73003303018263	3.5078229491206	1.68653311301711
ENSMUSG00000025025.15	Mxi1	1.98625741391951	2.90818063384568	2.43234123603045	0.672869396475584
ENSMUSG00000021186.10	Fbln5	3.67040663878602	5.00858766890173	4.49204692109684	0.704391348224797
ENSMUSG00000025930.7	Msc	-0.330247213241845	1.59220901281373	0.311591308233199	1.75433461247812
ENSMUSG00000060961.17	Slc4a4	0.896158422406252	2.82840662534668	1.72605469481022	1.58897001692031
ENSMUSG00000090264.2	Eif4ebp3	0.468635297028824	3.72987741132125	1.8840917361196	2.77368881875527
ENSMUSG00000021371.6	Mcur1	4.39192877623433	3.57402283700991	4.17898015499086	1.01758305930313
ENSMUSG00000038446.9	Cdc40	1.99811204366851	3.04419653827692	1.95629238964177	1.88879945090668
ENSMUSG00000021356.11	Irf4	0.606502806736957	5.30962917843441	1.42331336096923	6.78518451519499
ENSMUSG00000048503.8	Tlcd5	0.719160671701384	2.22795246824789	0.83395344070889	2.30853515273326
ENSMUSG00000038429.11	Usp5	4.96018589331392	4.26331058235192	4.72710472191314	0.755857801163906
ENSMUSG00000049115.16	Agtr1a	2.66537104777861	4.01073997957215	2.88159943916415	1.99429050573046
ENSMUSG00000030652.12	Coq7	2.53188265514914	0.944565296612178	1.63650779044952	0.818300429544837
ENSMUSG00000023150.15	Ivns1abp	5.11278082359017	6.62067054718608	5.57127515078704	1.76825119796457
ENSMUSG00000033720.13	Sfxn5	2.19279204429214	0.880891146030721	2.31346328078583	2.13691253351949
ENSMUSG00000020744.14	Slc25a19	5.23710198186321	3.43700232291816	5.63698513625572	3.18807153183187
ENSMUSG00000057137.10	Tmem140	3.66636939880316	5.26360880876546	3.29284710620095	2.83123245625851
ENSMUSG00000027346.16	Gpcpd1	2.95615464814369	4.51958832652913	3.0864954272143	2.65351673265545
ENSMUSG00000027357.17	Crls1	4.84180392345876	6.79157833888781	4.88425656042753	3.74144602882825
ENSMUSG00000070002.8	Ell	3.84465707897037	5.02470393124631	4.0741131269758	1.68358263507109
ENSMUSG00000025817.13	Nudt5	3.15507815269053	2.21571245154469	2.79044658188725	0.850498514809654
ENSMUSG00000020472.15	Zkscan17	2.1508339301996	3.06622271106494	2.67113935277885	0.53075991187708
ENSMUSG00000027206.14	Cops2	4.80115776589415	5.38551170784592	4.91944462795513	0.826953719705146
ENSMUSG00000028961.16	Pgd	6.44069834924636	5.00296410803508	6.25764837097397	2.32572207110726
ENSMUSG00000002741.10	Ykt6	5.34287684846269	4.66094525661891	5.22152149376442	1.00577438179955
ENSMUSG00000020538.16	Srebf1	6.53939633029857	4.62290621970446	6.92962641503667	3.46937494917993
ENSMUSG00000037661.15	Gpr160	1.92095251696069	3.10569216588123	2.59701074252101	0.682572058907067
ENSMUSG00000022546.6	Gpt	6.22927187174301	2.56743601045631	4.74375632461156	3.31906265440444
