Geneid	Symbol	Aged_AdLibitum.log2fpkm.mean	Aged_Fast.log2fpkm.mean	Aged_Refeed.log2fpkm.mean	Aged_GElaS
ENSMUSG00000020472.15	Zkscan17	2.09996307547161	2.7699819273898	2.41288367693685	0.507975736294515
ENSMUSG00000024413.15	Npc1	1.99728046510161	2.43167597425679	2.12425878191552	0.454687390732944
ENSMUSG00000040618.8	Pck2	2.400527802631	2.83819525708308	2.53259887228936	0.481526792609705
ENSMUSG00000046794.10	Ppp1r3b	0.320975511985659	-0.17984891715397	0.741625138869699	0.38650379153194
ENSMUSG00000003477.6	Inmt	5.71876364010786	7.21055238404015	7.00945135956681	0.205287725671602
ENSMUSG00000021097.16	Clmn	2.6216976066674	3.39877464779379	3.04471497641737	0.491346676354166
ENSMUSG00000010936.12	Vac14	2.47822568473431	2.05699049680527	2.58954674485458	0.685609811393414
ENSMUSG00000058258.15	Idi1	1.72289553248794	1.11998802831972	1.13343811117668	0.0145050805171274
ENSMUSG00000020917.18	Acly	4.97673474232587	4.68933159129687	5.13541874111561	0.197373697313755
ENSMUSG00000027605.19	Acss2	1.99700950069828	1.44229594855061	1.538436558428	0.0522472263524405
ENSMUSG00000028044.7	Cks1b	3.84133908059822	3.15640872815595	3.84530345070137	1.31731182309531
ENSMUSG00000024007.16	Ppil1	2.24403742081707	1.71605753629412	2.18333398588002	0.786427829424417
ENSMUSG00000028245.16	Nsmaf	2.60325973463421	3.01782503337635	2.54665071342929	0.728150550187816
ENSMUSG00000019558.15	Slc6a8	2.87224775335745	3.26492918678381	3.2215275206568	0.0415408424239606
ENSMUSG00000052214.10	Opa3	2.90678051834835	2.23991512307219	3.14216497172126	1.06892029943046
ENSMUSG00000008035.13	Mid1ip1	4.14848182363417	3.98087145125482	4.46918632904354	0.173220824850245
ENSMUSG00000033105.13	Lss	0.929519563880511	0.616328128640003	0.719239945355669	0.038709638632627
ENSMUSG00000028107.15	Tars2	2.36044185700505	2.09182491928651	2.22969080042641	0.182094915651674
ENSMUSG00000020277.11	Pfkl	3.61672919861306	3.15507388139665	3.79387732986639	0.7589903657731
ENSMUSG00000027603.16	Ggt7	0.280682381920505	0.380655665634457	0.063971569138577	0.0521779703969797
ENSMUSG00000060961.17	Slc4a4	1.20029341325577	2.06880198723939	1.42967470547882	0.97621607353049
ENSMUSG00000031349.5	Nsdhl	2.62068335568318	2.03073019841223	2.27105122269089	0.208780925822721
ENSMUSG00000028961.16	Pgd	5.08272379732789	4.65673879234976	5.14695761789476	0.762157518716501
ENSMUSG00000041696.15	Rasl12	3.36645133354949	2.49265022912821	3.46278677236413	1.56276197261427
ENSMUSG00000040170.14	Fmo2	3.14914444678031	4.45238467848374	4.1296350764349	0.355193419331544
ENSMUSG00000032418.16	Me1	6.11983285471033	5.83359476122425	6.0047701587077	0.0790248686716477
ENSMUSG00000023150.15	Ivns1abp	6.54973281922975	7.50137319175167	6.6323771209461	1.65623689439781
ENSMUSG00000058655.10	Eif4b	5.69554235047559	6.16562288409452	5.84615270923261	0.532638631058235
ENSMUSG00000028274.18	Rngtt	1.55797681267553	1.21363304235276	1.39466093748644	0.230151263728294
ENSMUSG00000025269.17	Apex2	0.648119556826679	0.103346379696302	0.843345875303102	0.683454768405017
ENSMUSG00000031604.11	Msmo1	1.83338612474374	1.4611103565555	1.8728773261494	0.535400774444861
ENSMUSG00000061740.9	Cyp2d22	4.38261094637455	5.62354619075882	5.06023457543649	0.810739726106093
ENSMUSG00000070284.11	Gmppb	2.47147702105104	1.82208366668639	2.40717891684813	1.00284691624437
ENSMUSG00000025937.7	Lactb2	3.27366099943318	2.9653808612459	2.96165787629357	0
ENSMUSG00000031864.17	Ints10	1.87007594199805	1.38049235256962	1.68551516324726	0.42253072998301
ENSMUSG00000031924.5	Cyb5b	5.78625415606234	5.1276994722282	5.71891638226497	1.10924658273295
ENSMUSG00000053317.12	Sec61b	5.24013339027848	4.67381192273674	5.0669178819349	0.65612794653291
ENSMUSG00000006517.6	Mvd	1.86280201798104	1.19455017578578	1.91144047332974	0.892863272288096
ENSMUSG00000025792.10	Slc25a10	5.58769856450286	4.04029797844974	5.36820323789053	2.42025009746584
ENSMUSG00000027327.17	1700037H04Rik	5.09668056013911	4.29568352062306	5.8735027517149	1.18437166108774
ENSMUSG00000020432.13	Tcn2	5.57376600500241	6.23317035691256	6.39272302339271	0
ENSMUSG00000027774.17	Gfm1	3.39621450353648	3.15916324605366	3.18548035404369	0.0241607829785634
ENSMUSG00000026036.18	Nif3l1	1.08562515124116	0.616242864652031	1.09663493354008	0.729569637579705
ENSMUSG00000029190.20	D5Ertd579e	2.48817691541637	2.05537219872641	2.40926828443297	0.56953736486298
ENSMUSG00000037679.10	Inf2	4.11277878331336	4.53200203009007	4.42518029976987	0.113095148348613
ENSMUSG00000025025.15	Mxi1	2.09197246270758	2.67834003059362	2.53476343063237	0.14874967574504
ENSMUSG00000018068.14	Ints2	0.47723492320258	-0.0517714952875585	0.0585240074881558	0.0747467598859993
ENSMUSG00000032557.14	Uba5	3.22180202873929	2.75027271864875	3.21873869535405	0.878549046278076
ENSMUSG00000020810.6	Cygb	5.87384126189043	6.18583265395753	6.30472244531458	0
ENSMUSG00000023832.15	Acat2	4.49508841482148	3.70636630497905	4.81847780890809	1.31325582438245
ENSMUSG00000006784.15	Odad4	-3.08555315338264	-2.79604366558455	-3.48675345848788	0.0328141787389714
ENSMUSG00000024777.11	Ppp2r5b	3.63056982710318	3.40193833360687	3.79276946961605	0.285571756130539
ENSMUSG00000070436.13	Serpinh1	7.48647376365865	6.34200355793719	7.86496357909704	1.99636401599489
ENSMUSG00000022051.16	Bnip3l	5.40152871898137	5.83283489910858	5.76685171280516	0.0670929336546228
ENSMUSG00000029446.15	Psph	1.9510899308707	1.01524902472156	1.69395215578869	0.983416292293795
ENSMUSG00000020459.15	Mtif2	3.04499825633312	2.86406453171221	2.84876820651097	0
ENSMUSG00000035575.12	Utp6	3.44985162065503	3.21910860257686	3.32061479350639	0.120290477959602
ENSMUSG00000047822.9	Angptl8	1.68909854661509	0.59140788132498	2.91561222918788	1.12656646697421
ENSMUSG00000030298.11	Sec13	4.64885830678535	4.18429023016664	4.46795576076943	0.446440090989964
ENSMUSG00000001642.19	Akr1b3	3.96012551478575	3.47370895278255	3.84503853535138	0.631080727807799
ENSMUSG00000025930.7	Msc	0.609548925299299	1.73535163805883	0.926586373337899	1.18651218184343
ENSMUSG00000020614.14	Fam20a	1.82296447075123	2.31649375200049	2.40686551712305	0
ENSMUSG00000020097.15	Sgpl1	4.40147051628794	4.94283974349111	4.72637960697243	0.251061462721485
ENSMUSG00000029575.18	Mmab	3.34561256578323	2.95547384387404	2.97306237100118	0.0170821297382531
ENSMUSG00000035443.11	Thyn1	2.23458297287029	1.60876337843758	1.79501210305459	0.183650215656336
ENSMUSG00000031936.10	Hephl1	-3.64269652720116	-3.7859933467082	-3.05092096274748	0.00329152376737733
ENSMUSG00000012422.15	Tmem167	2.27494161171343	1.92388624050234	2.23317952152301	0.520918251474235
ENSMUSG00000032294.18	Pkm	6.02883129839617	5.37011530310551	5.77590490464266	0.649140018055195
ENSMUSG00000002741.10	Ykt6	4.90030585250978	4.61748859373817	4.89940854943043	0.553436164685165
ENSMUSG00000029438.10	Bcl7a	1.28067060441454	1.8538567657852	1.05304473362358	0.84926608703567
ENSMUSG00000006301.18	Tmbim1	4.19608870421712	4.92489636538238	4.68435013187819	0.279660170256996
ENSMUSG00000042726.15	Trafd1	5.03980052663712	5.79390302398951	5.04033870038167	1.48972974037915
ENSMUSG00000036613.9	Eipr1	1.77133118319906	1.11090438520431	1.3685516933328	0.250399425935324
ENSMUSG00000020034.8	Tcp11l2	3.55073102601817	4.1162865336834	3.43118739025644	0.99907481087323
ENSMUSG00000020464.16	Pnpt1	3.21461550237975	2.89937343933876	2.9831837315691	0.0854609205778958
ENSMUSG00000021371.6	Mcur1	4.28723756408249	3.83120655701176	4.29221226788512	0.881254830588665
ENSMUSG00000022351.15	Sqle	0.878392971188384	0.0517181655203415	0.62722953168618	0.553713388451438
ENSMUSG00000018740.15	Slc25a35	3.20335730391502	2.29032384477082	3.25147866550439	1.67104841030575
ENSMUSG00000020788.16	Atp2a3	4.26068463275861	4.58911907159587	4.32998150995244	0.255090349224122
ENSMUSG00000028252.21	Ccnc	2.25021226495788	2.03381121536824	2.06922526299193	0.0312227102139602
ENSMUSG00000040521.12	Tsfm	2.92058904822867	2.53177501854179	2.81895546742716	0.441770925186114
ENSMUSG00000049313.9	Sorl1	0.342566185442794	-0.660571727088142	-0.660541841032356	0.0463894618852342
ENSMUSG00000021069.18	Pygl	4.42404463572932	4.1629821333992	4.21911630277687	0.022067159574833
ENSMUSG00000070476.11	Fam217b	2.02828957482747	1.38472254457654	2.21332686573695	1.00057149694231
ENSMUSG00000026626.12	Ppp2r5a	5.51040310635877	5.12857684128502	5.49437504577255	0.502821249033731
ENSMUSG00000051596.16	Otop1	-0.127946921991429	-1.36961286767885	-0.206839169096839	1.05574164052554
ENSMUSG00000033102.16	Cdc14b	0.674233723830614	1.24499555734477	0.396838839432036	0.767314274155993
ENSMUSG00000038429.11	Usp5	4.59858484949372	4.26282856473826	4.49190062901517	0.376576463260214
ENSMUSG00000032245.13	Cln6	2.83869521144485	2.96726478283963	2.78342295275076	0.146083609062005
ENSMUSG00000025950.17	Idh1	6.39272317116127	5.75275162502562	6.1178789430491	0.551636318606425
ENSMUSG00000023885.10	Thbs2	5.03659731473301	6.1154777775035	5.51608061346195	0.806555833870369
ENSMUSG00000028976.11	Slc2a5	-3.96600673478799	-4.67025825820063	-3.79956750967939	0.0139455121867431
ENSMUSG00000028960.21	Ube4b	3.29396097519953	3.67703280235761	3.22964716443023	0.681082124188946
