Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000020937.15	Plcd3	0.868487226149639	9.88162704561008e-06
ENSMUSG00000020472.15	Zkscan17	0.614983718970516	1.83523349358622e-05
ENSMUSG00000053774.10	Ubxn7	0.463714586814523	8.03711452781044e-05
ENSMUSG00000033720.13	Sfxn5	-0.858406498500069	8.03711452781044e-05
ENSMUSG00000061740.9	Cyp2d22	1.22117332754526	8.03711452781044e-05
ENSMUSG00000032271.14	Nnmt	-1.37166317893244	8.35607279014172e-05
ENSMUSG00000040170.14	Fmo2	1.25569406279168	0.000101066325061362
ENSMUSG00000021097.16	Clmn	0.732271746593016	0.000106799207670719
ENSMUSG00000020744.14	Slc25a19	-1.01342088734745	0.000120408729758407
ENSMUSG00000025648.19	Pfkfb4	-1.052381456928	0.000140205227347408
ENSMUSG00000003477.6	Inmt	1.48331770357183	0.000175271611405243
ENSMUSG00000052214.10	Opa3	-0.61627035445551	0.000176745259184728
ENSMUSG00000025025.15	Mxi1	0.535874939737465	0.000215564889526089
ENSMUSG00000018800.15	Abca5	0.611431598995478	0.000215564889526089
ENSMUSG00000043110.3	Lrrn4	0.883082393972403	0.000120408729758407
ENSMUSG00000028044.7	Cks1b	-0.660745249690699	0.000245081764632094
ENSMUSG00000070284.11	Gmppb	-0.587259667746324	0.000246933955026204
ENSMUSG00000030245.11	Golt1b	-0.443542355880436	0.000298182219035854
ENSMUSG00000025792.10	Slc25a10	-1.52321181632123	0.000390290064360602
ENSMUSG00000041696.15	Rasl12	-0.822189747471475	0.000393133485468779
ENSMUSG00000030298.11	Sec13	-0.45464258833038	0.000471658113084266
ENSMUSG00000053317.12	Sec61b	-0.558511103134469	0.000495201664095692
ENSMUSG00000022391.17	Rangap1	-0.494073273426704	0.000511174733851685
ENSMUSG00000026643.17	Nmt2	0.406106541982476	0.000511174733851685
ENSMUSG00000042726.15	Trafd1	0.745563234341317	0.000591649438959401
ENSMUSG00000028150.15	Rorc	1.12915419037296	0.000591649438959401
ENSMUSG00000062075.14	Lmnb2	-0.531991870003882	0.000591649438959401
ENSMUSG00000025759.12	Mfsd8	-0.415829946295002	0.000652690291552797
ENSMUSG00000031864.17	Ints10	-0.42360381383367	0.000670527759836172
ENSMUSG00000026309.15	Ilkap	0.457870362484715	0.000680425988206692
ENSMUSG00000024395.10	Lims2	0.759886335876144	0.000682106796899161
ENSMUSG00000070436.13	Serpinh1	-1.14005264303749	0.000688251706754797
ENSMUSG00000020513.16	Tubd1	-0.700954266358675	0.000652690291552797
ENSMUSG00000002266.18	Zim1	2.58267610694362	0.000736348187178369
ENSMUSG00000032557.14	Uba5	-0.443617029497065	0.000744795853740215
ENSMUSG00000027429.17	Sec23b	-0.371063088627518	0.000744795853740215
ENSMUSG00000034863.10	Ano8	-0.605743299593071	0.000744795853740215
ENSMUSG00000028245.16	Nsmaf	0.38715970636258	0.000795289035504543
ENSMUSG00000060206.12	Zfp462	0.591722774102481	0.000774321281406469
ENSMUSG00000047216.9	Cdh19	0.887120023729842	0.000795289035504543
ENSMUSG00000030421.10	Uri1	0.459887799139179	0.000836982699335793
ENSMUSG00000025437.16	Usp33	0.412689074340208	0.000865448987605676
