Geneid	Symbol	log2FC	adj.P.Val
ENSMUSG00000046794.10	Ppp1r3b	4.99961654053767	3.08050553786474e-12
ENSMUSG00000042608.16	Stk40	1.7541468483094	1.14673710333003e-11
ENSMUSG00000001415.11	Smg5	1.09434154569581	1.29958500792687e-11
ENSMUSG00000008035.13	Mid1ip1	3.0276200158316	1.63746668607634e-11
ENSMUSG00000020917.18	Acly	5.04199908850995	1.89786932931781e-11
ENSMUSG00000047822.9	Angptl8	5.8150498752706	2.37971479734873e-11
ENSMUSG00000028961.16	Pgd	2.41328481190206	2.65087411704123e-11
ENSMUSG00000052214.10	Opa3	1.30315196357273	4.01331531296841e-11
ENSMUSG00000024007.16	Ppil1	1.19718260640638	1.01656664576188e-10
ENSMUSG00000035206.11	Sppl2b	1.07212170553132	1.06990110834132e-10
ENSMUSG00000022265.8	Ank	1.934316251223	1.11738856202325e-10
ENSMUSG00000027589.15	Pcmtd2	-1.05540582560337	1.38380556721718e-10
ENSMUSG00000031936.10	Hephl1	3.13019408443627	1.09982143783792e-10
ENSMUSG00000049580.13	Tsku	2.65705367396763	1.47557147839352e-10
ENSMUSG00000006784.15	Odad4	2.16143739646567	1.11738856202325e-10
ENSMUSG00000002741.10	Ykt6	0.850687878835192	1.72504462583359e-10
ENSMUSG00000017801.16	Mlx	1.80478518300613	1.72504462583359e-10
ENSMUSG00000033105.13	Lss	1.77338353209466	2.18801080637936e-10
ENSMUSG00000024413.15	Npc1	-1.54442796642968	3.64365943556641e-10
ENSMUSG00000020538.16	Srebf1	2.64824499913419	3.64365943556641e-10
ENSMUSG00000017715.12	Pgs1	0.851644443112275	3.8263841973625e-10
ENSMUSG00000010936.12	Vac14	1.05533733328677	4.11704661244743e-10
ENSMUSG00000021196.15	Pfkp	1.33362229619019	4.11704661244743e-10
ENSMUSG00000028833.14	Ncdn	0.789391005985638	4.33645273960687e-10
ENSMUSG00000042148.9	Cox10	1.18610592908903	4.95376619402291e-10
ENSMUSG00000005373.14	Mlxipl	2.44702038780838	4.95376619402291e-10
ENSMUSG00000032418.16	Me1	2.8241399662432	4.95376619402291e-10
ENSMUSG00000058258.15	Idi1	1.73579471811137	6.64223127216498e-10
ENSMUSG00000018068.14	Ints2	1.01296773113346	6.96156008754048e-10
ENSMUSG00000021097.16	Clmn	-1.28568560851499	6.98359576710999e-10
ENSMUSG00000020277.11	Pfkl	1.43277955583719	7.82675007317035e-10
ENSMUSG00000006517.6	Mvd	2.6995999478115	7.82675007317035e-10
ENSMUSG00000022351.15	Sqle	2.57560631794646	8.0092044396469e-10
ENSMUSG00000056413.17	Adap1	2.92598389195308	9.57432493010011e-10
ENSMUSG00000026036.18	Nif3l1	0.867947485804171	9.57432493010011e-10
ENSMUSG00000001910.6	Nacc1	0.682063621390552	9.57432493010011e-10
ENSMUSG00000000628.11	Hk2	2.27775904552236	9.57432493010011e-10
ENSMUSG00000023019.13	Gpd1	2.50899055560136	9.57432493010011e-10
ENSMUSG00000032577.17	Mapkapk3	2.03476244071404	9.74270013529613e-10
ENSMUSG00000029190.20	D5Ertd579e	1.47494530076662	9.80610820612158e-10
ENSMUSG00000031924.5	Cyb5b	1.89635619854283	9.80610820612158e-10
ENSMUSG00000042726.15	Trafd1	-1.39437144449202	9.80610820612158e-10
ENSMUSG00000045917.18	Tmem268	1.54098591774593	9.80610820612158e-10
ENSMUSG00000050737.14	Ptges	3.13008935659381	9.80610820612158e-10
ENSMUSG00000024212.10	Mllt1	1.04687442407304	9.80610820612158e-10
ENSMUSG00000030986.14	Dhx32	2.04172081140589	1.01003284163905e-09
ENSMUSG00000039740.7	Alg2	0.816412997530659	1.0419276570439e-09
ENSMUSG00000029446.15	Psph	2.05429747989918	1.06131534318228e-09
ENSMUSG00000057137.10	Tmem140	-1.84450793517678	1.06130388348548e-09
ENSMUSG00000049313.9	Sorl1	3.08362172614714	1.28545759888043e-09
ENSMUSG00000035575.12	Utp6	0.625048476433467	1.26964141369962e-09
ENSMUSG00000032898.10	Fbxo21	-2.36229591510846	1.30334427338897e-09
ENSMUSG00000053774.10	Ubxn7	-0.705919979097383	1.70248332873562e-09
ENSMUSG00000023150.15	Ivns1abp	-1.8822965174966	1.80634112272626e-09
ENSMUSG00000028976.11	Slc2a5	5.10869899793704	1.03424352053812e-09
ENSMUSG00000028245.16	Nsmaf	-0.745788459565999	2.02929021520205e-09
ENSMUSG00000028088.15	Fmo5	-0.972685782115203	2.13942025151871e-09
ENSMUSG00000021509.6	Slc25a48	2.38250254803681	2.10273198528076e-09
ENSMUSG00000020361.14	Hspa4	0.809025985617639	2.36930705344876e-09
ENSMUSG00000029186.13	Pi4k2b	-0.926327704737282	2.554107723803e-09
ENSMUSG00000038422.3	Hdhd3	1.90232306532233	2.39101096799485e-09
ENSMUSG00000025269.17	Apex2	0.835927933496956	2.6496366222847e-09
ENSMUSG00000033720.13	Sfxn5	1.2868405778382	2.60776785566196e-09
ENSMUSG00000020472.15	Zkscan17	-0.804346548584391	2.6496366222847e-09
ENSMUSG00000022557.12	Bop1	0.929244467072311	2.737941714018e-09
ENSMUSG00000034853.17	Acot11	2.77745401159896	3.24662743702576e-09
ENSMUSG00000038295.15	Atg9b	2.2972180753977	2.6496366222847e-09
ENSMUSG00000038446.9	Cdc40	-1.05394668453943	3.88620761532263e-09
ENSMUSG00000039159.17	Ube2h	-1.05442496333598	3.88620761532263e-09
ENSMUSG00000001576.16	Ergic1	1.44694167770407	3.88620761532263e-09
ENSMUSG00000032754.15	Slc8b1	-1.54256710013903	3.88620761532263e-09
ENSMUSG00000040158.13	Tax1bp3	0.78768535479866	4.22960665207809e-09
ENSMUSG00000027513.12	Pck1	-2.51323644746863	4.42490687212172e-09
ENSMUSG00000063888.8	Rpl7l1	0.93281245134784	4.6031498583629e-09
ENSMUSG00000039100.11	Marchf6	-0.681947220468716	4.6539546596039e-09
ENSMUSG00000018387.13	Shroom1	1.9909516473517	4.65543419875006e-09
ENSMUSG00000019837.9	Gtf3c6	0.753288945453086	4.84647544601577e-09
ENSMUSG00000026643.17	Nmt2	-0.704946957736134	4.77235767779445e-09
ENSMUSG00000070284.11	Gmppb	0.965592732915197	4.9314133680161e-09
ENSMUSG00000035311.17	Gnptab	1.14412762988494	4.9314133680161e-09
ENSMUSG00000023156.5	Rpp14	0.97339859967534	4.9314133680161e-09
ENSMUSG00000023055.11	Calcoco1	-0.871314880458234	4.94927273306448e-09
ENSMUSG00000027429.17	Sec23b	0.675276942525011	4.94955117089892e-09
ENSMUSG00000010914.11	Pdhx	1.21092378833839	5.11340141880787e-09
ENSMUSG00000058454.16	Dhcr7	1.8413063448395	5.88370140595406e-09
ENSMUSG00000001467.6	Cyp51	1.79365548508359	5.90130452180491e-09
ENSMUSG00000027774.17	Gfm1	0.803698422119949	5.90733209651453e-09
ENSMUSG00000026254.18	Eif4e2	0.791092567534732	5.91487475340325e-09
ENSMUSG00000031349.5	Nsdhl	1.82742592240425	6.62706369886863e-09
ENSMUSG00000005362.15	Crbn	-0.546917550729808	7.10245883309204e-09
ENSMUSG00000070476.11	Fam217b	1.52233468867457	8.72631560033943e-09
ENSMUSG00000041801.6	Phlda3	2.56611778572289	9.03050661545781e-09
ENSMUSG00000030298.11	Sec13	0.743121987667255	9.10004134022804e-09
ENSMUSG00000023259.18	Slc26a6	1.00757738734111	1.00466368153655e-08
ENSMUSG00000027599.10	Armc1	0.600973549321296	9.41087253757216e-09
ENSMUSG00000027605.19	Acss2	2.60537873819467	9.83838651229762e-09
ENSMUSG00000030061.17	Uba3	0.570415513574183	9.73483425576533e-09
ENSMUSG00000027327.17	1700037H04Rik	1.57985809051215	1.03048996785115e-08
ENSMUSG00000070436.13	Serpinh1	2.02883370669112	1.07677815998133e-08
ENSMUSG00000058230.13	Arhgap35	0.797503969443279	1.03048996785115e-08
ENSMUSG00000032557.14	Uba5	0.773852040536187	1.03235591009081e-08
ENSMUSG00000002343.12	Armc6	1.01323739810411	1.08230704075212e-08
ENSMUSG00000035121.7	Neil2	-1.51068089522666	1.08230704075212e-08
ENSMUSG00000031604.11	Msmo1	1.32485620996097	1.08230704075212e-08
ENSMUSG00000031864.17	Ints10	0.716328376202287	1.08230704075212e-08
ENSMUSG00000030269.15	Mtmr14	-1.5094422837488	1.08230704075212e-08
ENSMUSG00000032245.13	Cln6	-0.706661773496971	1.09483314299924e-08
